StateClassIDSource,StateClassIDDest,TransitionTypeID,Probability
Agriculture:Cultivated,Urban:Nonlinear,Agricultural Loss,1
Agriculture:Cultivated,Forest:decid_2,Reforestation,1
Forest:decid_1,Agriculture:Cultivated,Agricultural Expansion,1
Forest:decid_2,Agriculture:Cultivated,Agricultural Expansion,1
Forest:decid_3,Agriculture:Cultivated,Agricultural Expansion,1
Forest:mixt_1,Agriculture:Cultivated,Agricultural Expansion,1
Forest:mixt_2,Agriculture:Cultivated,Agricultural Expansion,1
Forest:mixt_3,Agriculture:Cultivated,Agricultural Expansion,1
Forest:conif_1,Agriculture:Cultivated,Agricultural Expansion,1
Forest:conif_2,Agriculture:Cultivated,Agricultural Expansion,1
Forest:conif_3,Agriculture:Cultivated,Agricultural Expansion,1
Forest:decid_1,Urban:Nonlinear,Deforestation,1
Forest:decid_2,Urban:Nonlinear,Deforestation,1
Forest:decid_3,Urban:Nonlinear,Deforestation,1
Forest:mixt_1,Urban:Nonlinear,Deforestation,1
Forest:mixt_2,Urban:Nonlinear,Deforestation,1
Forest:mixt_3,Urban:Nonlinear,Deforestation,1
Forest:conif_1,Urban:Nonlinear,Deforestation,1
Forest:conif_2,Urban:Nonlinear,Deforestation,1
Forest:conif_3,Urban:Nonlinear,Deforestation,1
Forest:decid_2,Forest:decid_1,decid_2_to_decid_1,1
Forest:decid_3,Forest:decid_1,decid_3_to_decid_1,1
Forest:mixt_1,Forest:decid_1,mixt_1_to_decid_1,1
Forest:mixt_2,Forest:decid_1,mixt_2_to_decid_1,1
Forest:mixt_3,Forest:decid_1,mixt_3_to_decid_1,1
Forest:conif_1,Forest:decid_1,conif_1_to_decid_1,1
Forest:conif_2,Forest:decid_1,conif_2_to_decid_1,1
Forest:conif_3,Forest:decid_1,conif_3_to_decid_1,1
Forest:decid_1,Forest:decid_2,decid_1_to_decid_2,1
Forest:decid_3,Forest:decid_2,decid_3_to_decid_2,1
Forest:mixt_1,Forest:decid_2,mixt_1_to_decid_2,1
Forest:mixt_2,Forest:decid_2,mixt_2_to_decid_2,1
Forest:mixt_3,Forest:decid_2,mixt_3_to_decid_2,1
Forest:conif_1,Forest:decid_2,conif_1_to_decid_2,1
Forest:conif_2,Forest:decid_2,conif_2_to_decid_2,1
Forest:conif_3,Forest:decid_2,conif_3_to_decid_2,1
Forest:decid_1,Forest:decid_3,decid_1_to_decid_3,1
Forest:decid_2,Forest:decid_3,decid_2_to_decid_3,1
Forest:mixt_1,Forest:decid_3,mixt_1_to_decid_3,1
Forest:mixt_2,Forest:decid_3,mixt_2_to_decid_3,1
Forest:mixt_3,Forest:decid_3,mixt_3_to_decid_3,1
Forest:conif_1,Forest:decid_3,conif_1_to_decid_3,1
Forest:conif_2,Forest:decid_3,conif_2_to_decid_3,1
Forest:conif_3,Forest:decid_3,conif_3_to_decid_3,1
Forest:decid_1,Forest:mixt_1,decid_1_to_mixt_1,1
Forest:decid_2,Forest:mixt_1,decid_2_to_mixt_1,1
Forest:decid_3,Forest:mixt_1,decid_3_to_mixt_1,1
Forest:mixt_2,Forest:mixt_1,mixt_2_to_mixt_1,1
Forest:mixt_3,Forest:mixt_1,mixt_3_to_mixt_1,1
Forest:conif_1,Forest:mixt_1,conif_1_to_mixt_1,1
Forest:conif_2,Forest:mixt_1,conif_2_to_mixt_1,1
Forest:conif_3,Forest:mixt_1,conif_3_to_mixt_1,1
Forest:decid_1,Forest:mixt_2,decid_1_to_mixt_2,1
Forest:decid_2,Forest:mixt_2,decid_2_to_mixt_2,1
Forest:decid_3,Forest:mixt_2,decid_3_to_mixt_2,1
Forest:mixt_1,Forest:mixt_2,mixt_1_to_mixt_2,1
Forest:mixt_3,Forest:mixt_2,mixt_3_to_mixt_2,1
Forest:conif_1,Forest:mixt_2,conif_1_to_mixt_2,1
Forest:conif_2,Forest:mixt_2,conif_2_to_mixt_2,1
Forest:conif_3,Forest:mixt_2,conif_3_to_mixt_2,1
Forest:decid_1,Forest:mixt_3,decid_1_to_mixt_3,1
Forest:decid_2,Forest:mixt_3,decid_2_to_mixt_3,1
Forest:decid_3,Forest:mixt_3,decid_3_to_mixt_3,1
Forest:mixt_1,Forest:mixt_3,mixt_1_to_mixt_3,1
Forest:mixt_2,Forest:mixt_3,mixt_2_to_mixt_3,1
Forest:conif_1,Forest:mixt_3,conif_1_to_mixt_3,1
Forest:conif_2,Forest:mixt_3,conif_2_to_mixt_3,1
Forest:conif_3,Forest:mixt_3,conif_3_to_mixt_3,1
Forest:decid_1,Forest:conif_1,decid_1_to_conif_1,1
Forest:decid_2,Forest:conif_1,decid_2_to_conif_1,1
Forest:decid_3,Forest:conif_1,decid_3_to_conif_1,1
Forest:mixt_1,Forest:conif_1,mixt_1_to_conif_1,1
