StratumID,TransitionGroupID,Amount,Timestep,TertiaryStratumID,srcClassID,destClassID
Not_Monteregie,Deforestation [Type],0,NA,NA,NA,NA
Not_Monteregie,Agricultural Loss [Type],0,NA,NA,NA,NA
Not_Monteregie,Agricultural Expansion [Type],0,NA,NA,NA,NA
Not_Monteregie,Reforestation [Type],0,NA,NA,NA,NA
PA,Agricultural Expansion [Type],0,NA,NA,NA,NA
PA,Agricultural Loss [Type],0,NA,NA,NA,NA
PA,Deforestation [Type],0,NA,NA,NA,NA
PA,Reforestation [Type],0,NA,NA,NA,NA
NA,decid_2_to_decid_1 [Type],0.06770885717483566,0,4,12,11
NA,decid_3_to_decid_1 [Type],0.04174396647139256,0,4,13,11
NA,mixt_1_to_decid_1 [Type],0.09941135481613972,0,4,21,11
NA,mixt_2_to_decid_1 [Type],0.036622916443924236,0,4,22,11
NA,mixt_3_to_decid_1 [Type],0,0,4,23,11
NA,conif_1_to_decid_1 [Type],0.003072203880919666,0,4,31,11
NA,conif_2_to_decid_1 [Type],0.0015871226418042728,0,4,32,11
NA,conif_3_to_decid_1 [Type],0.0022246968602822603,0,4,33,11
NA,decid_1_to_decid_2 [Type],0.10403192104596881,0,4,11,12
NA,decid_3_to_decid_2 [Type],0.5177838144570861,0,4,13,12
NA,mixt_1_to_decid_2 [Type],0.006936499911826766,0,4,21,12
NA,mixt_2_to_decid_2 [Type],0.06096013870476835,0,4,22,12
NA,mixt_3_to_decid_2 [Type],0.14039308365223646,0,4,23,12
NA,conif_1_to_decid_2 [Type],0,0,4,31,12
NA,conif_2_to_decid_2 [Type],0.0011334017016116915,0,4,32,12
NA,conif_3_to_decid_2 [Type],0.007435047372120307,0,4,33,12
NA,decid_1_to_decid_3 [Type],0,0,4,11,13
NA,decid_2_to_decid_3 [Type],0.022547181323388066,0,4,12,13
NA,mixt_1_to_decid_3 [Type],0,0,4,21,13
NA,mixt_2_to_decid_3 [Type],0.0014040020963870248,0,4,22,13
NA,mixt_3_to_decid_3 [Type],0.02402272282105855,0,4,23,13
NA,conif_1_to_decid_3 [Type],0,0,4,31,13
NA,conif_2_to_decid_3 [Type],0,0,4,32,13
NA,conif_3_to_decid_3 [Type],0.0025959621022106916,0,4,33,13
NA,decid_1_to_mixt_1 [Type],0.006401824669104772,0,4,11,21
NA,decid_2_to_mixt_1 [Type],0.0014146233535665687,0,4,12,21
NA,decid_3_to_mixt_1 [Type],1.380929372046813e-4,0,4,13,21
NA,mixt_2_to_mixt_1 [Type],0.17075127077088925,0,4,22,21
NA,mixt_3_to_mixt_1 [Type],0.0023762409821215247,0,4,23,21
NA,conif_1_to_mixt_1 [Type],0.5836913603639926,0,4,31,21
NA,conif_2_to_mixt_1 [Type],0.06971607395703161,0,4,32,21
NA,conif_3_to_mixt_1 [Type],0.07744316646013016,0,4,33,21
NA,decid_1_to_mixt_2 [Type],0.001354533469153596,0,4,11,22
NA,decid_2_to_mixt_2 [Type],0.002945322774444814,0,4,12,22
NA,decid_3_to_mixt_2 [Type],2.7620494933711104e-4,0,4,13,22
NA,mixt_1_to_mixt_2 [Type],0.03677449191983995,0,4,21,22
NA,mixt_3_to_mixt_2 [Type],0.3647984472167688,0,4,23,22
NA,conif_1_to_mixt_2 [Type],0,0,4,31,22
NA,conif_2_to_mixt_2 [Type],0.15549699856178667,0,4,32,22
NA,conif_3_to_mixt_2 [Type],0.10474501873405861,0,4,33,22
NA,decid_1_to_mixt_3 [Type],0,0,4,11,23
NA,decid_2_to_mixt_3 [Type],0,0,4,12,23
NA,decid_3_to_mixt_3 [Type],0,0,4,13,23
NA,mixt_1_to_mixt_3 [Type],0,0,4,21,23
NA,mixt_2_to_mixt_3 [Type],0.016801973928592506,0,4,22,23
NA,conif_1_to_mixt_3 [Type],0,0,4,31,23
NA,conif_2_to_mixt_3 [Type],0.0011334017016116915,0,4,32,23
NA,conif_3_to_mixt_3 [Type],0.00706197276671594,0,4,33,23
NA,decid_1_to_conif_1 [Type],0,0,4,11,31
NA,decid_2_to_conif_1 [Type],0,0,4,12,31
NA,decid_3_to_conif_1 [Type],0,0,4,13,31
NA,mixt_1_to_conif_1 [Type],0,0,4,21,31
NA,mixt_2_to_conif_1 [Type],1.75392441934763e-4,0,4,22,31
NA,mixt_3_to_conif_1 [Type],0,0,4,23,31
NA,conif_2_to_conif_1 [Type],0.047574817088527954,0,4,32,31
