StratumID,TransitionGroupID,Amount,Timestep,TertiaryStratumID,srcClassID,destClassID
Not_Monteregie,Deforestation [Type],0,NA,NA,NA,NA
Not_Monteregie,Agricultural Loss [Type],0,NA,NA,NA,NA
Not_Monteregie,Agricultural Expansion [Type],0,NA,NA,NA,NA
Not_Monteregie,Reforestation [Type],0,NA,NA,NA,NA
PA,Agricultural Expansion [Type],0,NA,NA,NA,NA
PA,Agricultural Loss [Type],0,NA,NA,NA,NA
PA,Deforestation [Type],0,NA,NA,NA,NA
PA,Reforestation [Type],0,NA,NA,NA,NA
NA,decid_2_to_decid_1 [Type],0.07472412340443191,0,4,12,11
NA,decid_3_to_decid_1 [Type],0.04825049536118664,0,4,13,11
NA,mixt_1_to_decid_1 [Type],0.10069150989848652,0,4,21,11
NA,mixt_2_to_decid_1 [Type],0.037670238991236005,0,4,22,11
NA,mixt_3_to_decid_1 [Type],0,0,4,23,11
NA,conif_1_to_decid_1 [Type],0.001534920321484945,0,4,31,11
NA,conif_2_to_decid_1 [Type],0.0015871226418042728,0,4,32,11
NA,conif_3_to_decid_1 [Type],0.0022246968602822603,0,4,33,11
NA,decid_1_to_decid_2 [Type],0.08728207219988826,0,4,11,12
NA,decid_3_to_decid_2 [Type],0.5270358239279047,0,4,13,12
NA,mixt_1_to_decid_2 [Type],0.0038476479731924806,0,4,21,12
NA,mixt_2_to_decid_2 [Type],0.05797668444823356,0,4,22,12
NA,mixt_3_to_decid_2 [Type],0.14964638777577655,0,4,23,12
NA,conif_1_to_decid_2 [Type],0,0,4,31,12
NA,conif_2_to_decid_2 [Type],9.066185000747851e-4,0,4,32,12
NA,conif_3_to_decid_2 [Type],0.00780826225751885,0,4,33,12
NA,decid_1_to_decid_3 [Type],0,0,4,11,13
NA,decid_2_to_decid_3 [Type],0.018863738593211665,0,4,12,13
NA,mixt_1_to_decid_3 [Type],0,0,4,21,13
NA,mixt_2_to_decid_3 [Type],0.0015796411792518006,0,4,22,13
NA,mixt_3_to_decid_3 [Type],0.020785641703681468,0,4,23,13
NA,conif_1_to_decid_3 [Type],0,0,4,31,13
NA,conif_2_to_decid_3 [Type],0,0,4,32,13
NA,conif_3_to_decid_3 [Type],0.0022246968602822603,0,4,33,13
NA,decid_1_to_mixt_1 [Type],0.006920946008265982,0,4,11,21
NA,decid_2_to_mixt_1 [Type],0.0017563845074832773,0,4,12,21
NA,decid_3_to_mixt_1 [Type],4.143360443038535e-4,0,4,13,21
NA,mixt_2_to_mixt_1 [Type],0.18359292070922117,0,4,22,21
NA,mixt_3_to_mixt_1 [Type],0.0023762409821215247,0,4,23,21
NA,conif_1_to_mixt_1 [Type],0.6006139681285936,0,4,31,21
NA,conif_2_to_mixt_1 [Type],0.08123326883362714,0,4,32,21
NA,conif_3_to_mixt_1 [Type],0.09201076854158452,0,4,33,21
NA,decid_1_to_mixt_2 [Type],0.0016127482030190432,0,4,11,22
NA,decid_2_to_mixt_2 [Type],0.004086733641463058,0,4,12,22
NA,decid_3_to_mixt_2 [Type],0,0,4,13,22
NA,mixt_1_to_mixt_2 [Type],0.028042973774306645,0,4,21,22
NA,mixt_3_to_mixt_2 [Type],0.34276181994922417,0,4,23,22
NA,conif_1_to_mixt_2 [Type],0,0,4,31,22
NA,conif_2_to_mixt_2 [Type],0.15953062933457662,0,4,32,22
NA,conif_3_to_mixt_2 [Type],0.1072306921510815,0,4,33,22
NA,decid_1_to_mixt_3 [Type],0,0,4,11,23
NA,decid_2_to_mixt_3 [Type],0,0,4,12,23
NA,decid_3_to_mixt_3 [Type],0,0,4,13,23
NA,mixt_1_to_mixt_3 [Type],0,0,4,21,23
NA,mixt_2_to_mixt_3 [Type],0.01266348604320644,0,4,22,23
NA,conif_1_to_mixt_3 [Type],0,0,4,31,23
NA,conif_2_to_mixt_3 [Type],0.0011334017016116915,0,4,32,23
NA,conif_3_to_mixt_3 [Type],0.010424707635008024,0,4,33,23
NA,decid_1_to_conif_1 [Type],0,0,4,11,31
NA,decid_2_to_conif_1 [Type],0,0,4,12,31
NA,decid_3_to_conif_1 [Type],0,0,4,13,31
NA,mixt_1_to_conif_1 [Type],0,0,4,21,31
NA,mixt_2_to_conif_1 [Type],2.6310020187880756e-4,0,4,22,31
NA,mixt_3_to_conif_1 [Type],0,0,4,23,31
NA,conif_2_to_conif_1 [Type],0.0451990958050138,0,4,32,31
