StratumID,TransitionGroupID,Amount,Timestep,TertiaryStratumID
Not_Monteregie,Deforestation [Type],0,NA,NA
Not_Monteregie,Agricultural Loss [Type],0,NA,NA
Not_Monteregie,Agricultural Expansion [Type],0,NA,NA
Not_Monteregie,Reforestation [Type],0,NA,NA
PA,Agricultural Expansion [Type],0,NA,NA
PA,Agricultural Loss [Type],0,NA,NA
PA,Deforestation [Type],0,NA,NA
PA,Reforestation [Type],0,NA,NA
NA,decid_2_to_decid_1 [Type],0,0,4
NA,decid_3_to_decid_1 [Type],0,0,4
NA,mixt_1_to_decid_1 [Type],0,0,4
NA,mixt_2_to_decid_1 [Type],0,0,4
NA,mixt_3_to_decid_1 [Type],0,0,4
NA,conif_1_to_decid_1 [Type],0,0,4
NA,conif_2_to_decid_1 [Type],0,0,4
NA,conif_3_to_decid_1 [Type],0,0,4
NA,decid_1_to_decid_2 [Type],0,0,4
NA,decid_3_to_decid_2 [Type],0,0,4
NA,mixt_1_to_decid_2 [Type],0,0,4
NA,mixt_2_to_decid_2 [Type],0,0,4
NA,mixt_3_to_decid_2 [Type],0,0,4
NA,conif_1_to_decid_2 [Type],0,0,4
NA,conif_2_to_decid_2 [Type],0,0,4
NA,conif_3_to_decid_2 [Type],0,0,4
NA,decid_1_to_decid_3 [Type],0,0,4
NA,decid_2_to_decid_3 [Type],0,0,4
NA,mixt_1_to_decid_3 [Type],0,0,4
NA,mixt_2_to_decid_3 [Type],0,0,4
NA,mixt_3_to_decid_3 [Type],0,0,4
NA,conif_1_to_decid_3 [Type],0,0,4
NA,conif_2_to_decid_3 [Type],0,0,4
NA,conif_3_to_decid_3 [Type],0,0,4
NA,decid_1_to_mixt_1 [Type],0,0,4
NA,decid_2_to_mixt_1 [Type],0,0,4
NA,decid_3_to_mixt_1 [Type],0,0,4
NA,mixt_2_to_mixt_1 [Type],0,0,4
NA,mixt_3_to_mixt_1 [Type],0,0,4
NA,conif_1_to_mixt_1 [Type],0,0,4
NA,conif_2_to_mixt_1 [Type],0,0,4
NA,conif_3_to_mixt_1 [Type],0,0,4
NA,decid_1_to_mixt_2 [Type],0,0,4
NA,decid_2_to_mixt_2 [Type],0,0,4
NA,decid_3_to_mixt_2 [Type],0,0,4
NA,mixt_1_to_mixt_2 [Type],0,0,4
NA,mixt_3_to_mixt_2 [Type],0,0,4
NA,conif_1_to_mixt_2 [Type],0,0,4
NA,conif_2_to_mixt_2 [Type],0,0,4
NA,conif_3_to_mixt_2 [Type],0,0,4
NA,decid_1_to_mixt_3 [Type],0,0,4
NA,decid_2_to_mixt_3 [Type],0,0,4
NA,decid_3_to_mixt_3 [Type],0,0,4
NA,mixt_1_to_mixt_3 [Type],0,0,4
NA,mixt_2_to_mixt_3 [Type],0,0,4
NA,conif_1_to_mixt_3 [Type],0,0,4
NA,conif_2_to_mixt_3 [Type],0,0,4
NA,conif_3_to_mixt_3 [Type],0,0,4
NA,decid_1_to_conif_1 [Type],0,0,4
NA,decid_2_to_conif_1 [Type],0,0,4
NA,decid_3_to_conif_1 [Type],0,0,4
NA,mixt_1_to_conif_1 [Type],0,0,4
NA,mixt_2_to_conif_1 [Type],0,0,4
NA,mixt_3_to_conif_1 [Type],0,0,4
NA,conif_2_to_conif_1 [Type],0,0,4
NA,conif_3_to_conif_1 [Type],0,0,4
NA,decid_1_to_conif_2 [Type],0,0,4
NA,decid_2_to_conif_2 [Type],0,0,4
NA,decid_3_to_conif_2 [Type],0,0,4
NA,mixt_1_to_conif_2 [Type],0,0,4
NA,mixt_2_to_conif_2 [Type],0,0,4
NA,mixt_3_to_conif_2 [Type],0,0,4
NA,conif_1_to_conif_2 [Type],0,0,4
NA,conif_3_to_conif_2 [Type],0,0,4
NA,decid_1_to_conif_3 [Type],0,0,4
NA,decid_2_to_conif_3 [Type],0,0,4
NA,decid_3_to_conif_3 [Type],0,0,4
NA,mixt_1_to_conif_3 [Type],0,0,4
NA,mixt_2_to_conif_3 [Type],0,0,4
NA,mixt_3_to_conif_3 [Type],0,0,4
NA,conif_1_to_conif_3 [Type],0,0,4
NA,conif_2_to_conif_3 [Type],0,0,4
NA,decid_2_to_decid_1 [Type],0,0,5
NA,decid_3_to_decid_1 [Type],0,0,5
NA,mixt_1_to_decid_1 [Type],0,0,5
NA,mixt_2_to_decid_1 [Type],0,0,5
NA,mixt_3_to_decid_1 [Type],0,0,5
NA,conif_1_to_decid_1 [Type],0,0,5
NA,conif_2_to_decid_1 [Type],0,0,5
NA,conif_3_to_decid_1 [Type],0,0,5
NA,decid_1_to_decid_2 [Type],0,0,5
NA,decid_3_to_decid_2 [Type],0,0,5
NA,mixt_1_to_decid_2 [Type],0,0,5
NA,mixt_2_to_decid_2 [Type],0,0,5
