"Transition","Timestep","MaximumArea","Amount","RelativeAmount"
"agex","t1",1,29678,0.942398069350946
"agex","t1",2,993,0.031531817604471
"agex","t1",3,348,0.0110504255048901
"agex","t1",4,180,0.00571573733011559
"agex","t1",5,100,0.00317540962784199
"agex","t1",6,58,0.00184173758414836
"agex","t1",7,35,0.0011113933697447
"agex","t1",8,28,0.000889114695795758
"agex","t1",9,18,0.000571573733011558
"agex","t1",10,17,0.000539819636733139
"agex","t1",11,7,0.000222278673948939
"agex","t1",12,5,0.0001587704813921
"agex","t1",13,7,0.000222278673948939
"agex","t1",14,1,3.17540962784199e-05
"agex","t1",15,1,3.17540962784199e-05
"agex","t1",16,6,0.000190524577670519
"agex","t1",17,3,9.52622888352597e-05
"agex","t1",19,2,6.35081925568398e-05
"agex","t1",20,1,3.17540962784199e-05
"agex","t1",21,1,3.17540962784199e-05
"agex","t1",22,1,3.17540962784199e-05
"agex","t1",23,2,6.35081925568398e-05
"agex","t2",1,4199,0.997861216730038
"agex","t2",2,8,0.00190114068441065
"agex","t2",3,1,0.000237642585551331
"urb","t1",1,13605,0.894653777865457
"urb","t1",2,998,0.0656276714670875
"urb","t1",3,289,0.0190044058657197
"urb","t1",4,102,0.00670743736437167
"urb","t1",5,69,0.00453738409942789
"urb","t1",6,29,0.00190701650555665
"urb","t1",7,19,0.00124942460708884
"urb","t1",8,16,0.0010521470375485
"urb","t1",9,18,0.00118366541724206
"urb","t1",10,8,0.000526073518774249
"urb","t1",11,8,0.000526073518774249
"urb","t1",12,6,0.000394555139080687
"urb","t1",13,4,0.000263036759387124
"urb","t1",14,5,0.000328795949233905
"urb","t1",15,1,6.57591898467811e-05
"urb","t1",16,4,0.000263036759387124
"urb","t1",17,1,6.57591898467811e-05
"urb","t1",18,3,0.000197277569540343
"urb","t1",20,2,0.000131518379693562
"urb","t1",22,3,0.000197277569540343
"urb","t1",24,2,0.000131518379693562
"urb","t1",26,1,6.57591898467811e-05
"urb","t1",28,1,6.57591898467811e-05
"urb","t1",31,1,6.57591898467811e-05
"urb","t1",33,2,0.000131518379693562
"urb","t1",36,2,0.000131518379693562
"urb","t1",41,1,6.57591898467811e-05
"urb","t1",43,1,6.57591898467811e-05
"urb","t1",44,1,6.57591898467811e-05
"urb","t1",49,1,6.57591898467811e-05
"urb","t1",52,1,6.57591898467811e-05
"urb","t1",54,1,6.57591898467811e-05
"urb","t1",70,1,6.57591898467811e-05
"urb","t1",78,1,6.57591898467811e-05
"urb","t2",1,9303,0.818998151245708
"urb","t2",2,901,0.0793203627079849
"urb","t2",3,330,0.0290518531560877
"urb","t2",4,218,0.0191918302667488
"urb","t2",5,128,0.0112685975878158
"urb","t2",6,121,0.0106523461572322
"urb","t2",7,76,0.00669072981776565
"urb","t2",8,34,0.00299322123426358
"urb","t2",9,33,0.00290518531560877
"urb","t2",10,28,0.00246500572233471
"urb","t2",11,21,0.00184875429175103
"urb","t2",12,21,0.00184875429175103
"urb","t2",13,12,0.00105643102385773
"urb","t2",14,12,0.00105643102385773
"urb","t2",15,12,0.00105643102385773
"urb","t2",16,12,0.00105643102385773
"urb","t2",17,10,0.000880359186548112
"urb","t2",18,8,0.000704287349238489
"urb","t2",19,7,0.000616251430583678
"urb","t2",20,2,0.000176071837309622
"urb","t2",21,2,0.000176071837309622
"urb","t2",22,3,0.000264107755964433
"urb","t2",23,4,0.000352143674619245
"urb","t2",24,7,0.000616251430583678
"urb","t2",25,4,0.000352143674619245
"urb","t2",26,2,0.000176071837309622
"urb","t2",27,3,0.000264107755964433
"urb","t2",29,3,0.000264107755964433
"urb","t2",30,2,0.000176071837309622
"urb","t2",31,1,8.80359186548112e-05
"urb","t2",32,2,0.000176071837309622
"urb","t2",33,1,8.80359186548112e-05
"urb","t2",34,6,0.000528215511928867
"urb","t2",35,2,0.000176071837309622
"urb","t2",37,3,0.000264107755964433
"urb","t2",38,4,0.000352143674619245
"urb","t2",39,3,0.000264107755964433
"urb","t2",41,2,0.000176071837309622
"urb","t2",46,2,0.000176071837309622
"urb","t2",47,1,8.80359186548112e-05
"urb","t2",49,1,8.80359186548112e-05
"urb","t2",55,1,8.80359186548112e-05
"urb","t2",60,1,8.80359186548112e-05
"urb","t2",67,1,8.80359186548112e-05
"urb","t2",69,1,8.80359186548112e-05
"urb","t2",83,1,8.80359186548112e-05
"urb","t2",90,1,8.80359186548112e-05
"urb","t2",92,1,8.80359186548112e-05
"urb","t2",105,1,8.80359186548112e-05
"urb","t2",142,1,8.80359186548112e-05
"urb","t2",178,1,8.80359186548112e-05
"urb","t2",208,1,8.80359186548112e-05
"urb","t2",234,1,8.80359186548112e-05
