"SecondaryStratumID","TransitionGroupID","Timestep","Amount"
"Abercorn","Agricultural Expansion [Type]",1,12.24
"Abercorn","Agricultural Expansion [Type]",2,1.98
"Abercorn","Agricultural Loss [Type]",1,16.65
"Abercorn","Agricultural Loss [Type]",2,7.29
"Abercorn","Deforestation [Type]",1,18.9
"Abercorn","Deforestation [Type]",2,2.07
"Acton Vale","Agricultural Expansion [Type]",1,96.93
"Acton Vale","Agricultural Expansion [Type]",2,4.23
"Acton Vale","Agricultural Loss [Type]",1,38.7
"Acton Vale","Agricultural Loss [Type]",2,63
"Acton Vale","Deforestation [Type]",1,111.15
"Acton Vale","Deforestation [Type]",2,29.52
"Akwesasne","Agricultural Expansion [Type]",1,0.27
"Akwesasne","Agricultural Expansion [Type]",2,0
"Akwesasne","Agricultural Loss [Type]",1,0
"Akwesasne","Agricultural Loss [Type]",2,10.98
"Akwesasne","Deforestation [Type]",1,0.09
"Akwesasne","Deforestation [Type]",2,8.82
"Ange-Gardien","Agricultural Expansion [Type]",1,202.14
"Ange-Gardien","Agricultural Expansion [Type]",2,7.11
"Ange-Gardien","Agricultural Loss [Type]",1,10.89
"Ange-Gardien","Agricultural Loss [Type]",2,29.88
"Ange-Gardien","Deforestation [Type]",1,5.94
"Ange-Gardien","Deforestation [Type]",2,4.23
"Beauharnois","Agricultural Expansion [Type]",1,89.64
"Beauharnois","Agricultural Expansion [Type]",2,2.25
"Beauharnois","Agricultural Loss [Type]",1,43.47
"Beauharnois","Agricultural Loss [Type]",2,50.76
"Beauharnois","Deforestation [Type]",1,42.66
"Beauharnois","Deforestation [Type]",2,28.44
"Bedford","Agricultural Expansion [Type]",1,8.91
"Bedford","Agricultural Expansion [Type]",2,1.26
"Bedford","Agricultural Loss [Type]",1,21.96
"Bedford","Agricultural Loss [Type]",2,13.41
"Bedford","Deforestation [Type]",1,4.86
"Bedford","Deforestation [Type]",2,12.51
"Beloeil","Agricultural Expansion [Type]",1,4.86
"Beloeil","Agricultural Expansion [Type]",2,0
"Beloeil","Agricultural Loss [Type]",1,32.4
"Beloeil","Agricultural Loss [Type]",2,118.8
"Beloeil","Deforestation [Type]",1,3.69
"Beloeil","Deforestation [Type]",2,0.09
"Béthanie","Agricultural Expansion [Type]",1,237.33
"Béthanie","Agricultural Expansion [Type]",2,9.9
"Béthanie","Agricultural Loss [Type]",1,8.82
"Béthanie","Agricultural Loss [Type]",2,0.72
"Béthanie","Deforestation [Type]",1,13.59
"Béthanie","Deforestation [Type]",2,0.27
"Bolton-Ouest","Agricultural Expansion [Type]",1,119.43
"Bolton-Ouest","Agricultural Expansion [Type]",2,4.86
"Bolton-Ouest","Agricultural Loss [Type]",1,29.34
"Bolton-Ouest","Agricultural Loss [Type]",2,3.69
"Bolton-Ouest","Deforestation [Type]",1,186.39
"Bolton-Ouest","Deforestation [Type]",2,56.07
"Boucherville","Agricultural Expansion [Type]",1,59.67
"Boucherville","Agricultural Expansion [Type]",2,3.6
"Boucherville","Agricultural Loss [Type]",1,163.8
"Boucherville","Agricultural Loss [Type]",2,265.95
"Boucherville","Deforestation [Type]",1,85.68
"Boucherville","Deforestation [Type]",2,54.99
"Brigham","Agricultural Expansion [Type]",1,221.85
"Brigham","Agricultural Expansion [Type]",2,16.65
"Brigham","Agricultural Loss [Type]",1,42.39
"Brigham","Agricultural Loss [Type]",2,48.24
"Brigham","Deforestation [Type]",1,56.34
"Brigham","Deforestation [Type]",2,51.03
"Brome","Agricultural Expansion [Type]",1,16.11
"Brome","Agricultural Expansion [Type]",2,0.72
"Brome","Agricultural Loss [Type]",1,0.81
"Brome","Agricultural Loss [Type]",2,1.35
"Brome","Deforestation [Type]",1,0.81
"Brome","Deforestation [Type]",2,7.11
"Bromont","Agricultural Expansion [Type]",1,237.6
"Bromont","Agricultural Expansion [Type]",2,11.16
"Bromont","Agricultural Loss [Type]",1,52.83
"Bromont","Agricultural Loss [Type]",2,81
"Bromont","Deforestation [Type]",1,171.36
"Bromont","Deforestation [Type]",2,320.58
"Brossard","Agricultural Expansion [Type]",1,31.23
"Brossard","Agricultural Expansion [Type]",2,1.17
"Brossard","Agricultural Loss [Type]",1,109.26
"Brossard","Agricultural Loss [Type]",2,278.28
