"SecondaryStratumID","Timestep","Amount","TransitionGroupID"
"Abercorn",1,31.14,"Reforestation [Type]"
"Abercorn",2,4.05,"Reforestation [Type]"
"Abercorn",3,17.595,"Reforestation [Type]"
"Acton Vale",1,208.08,"Reforestation [Type]"
"Acton Vale",2,33.75,"Reforestation [Type]"
"Acton Vale",3,120.915,"Reforestation [Type]"
"Akwesasne",1,0.36,"Reforestation [Type]"
"Akwesasne",2,8.82,"Reforestation [Type]"
"Akwesasne",3,4.59,"Reforestation [Type]"
"Ange-Gardien",1,208.08,"Reforestation [Type]"
"Ange-Gardien",2,11.34,"Reforestation [Type]"
"Ange-Gardien",3,109.71,"Reforestation [Type]"
"Beauharnois",1,132.3,"Reforestation [Type]"
"Beauharnois",2,30.69,"Reforestation [Type]"
"Beauharnois",3,81.495,"Reforestation [Type]"
"Bedford",1,13.77,"Reforestation [Type]"
"Bedford",2,13.77,"Reforestation [Type]"
"Bedford",3,13.77,"Reforestation [Type]"
"Beloeil",1,8.55,"Reforestation [Type]"
"Beloeil",2,0.09,"Reforestation [Type]"
"Beloeil",3,4.32,"Reforestation [Type]"
"Béthanie",1,250.92,"Reforestation [Type]"
"Béthanie",2,10.17,"Reforestation [Type]"
"Béthanie",3,130.545,"Reforestation [Type]"
"Bolton-Ouest",1,305.82,"Reforestation [Type]"
"Bolton-Ouest",2,60.93,"Reforestation [Type]"
"Bolton-Ouest",3,183.375,"Reforestation [Type]"
"Boucherville",1,145.35,"Reforestation [Type]"
"Boucherville",2,58.59,"Reforestation [Type]"
"Boucherville",3,101.97,"Reforestation [Type]"
"Brigham",1,278.19,"Reforestation [Type]"
"Brigham",2,67.68,"Reforestation [Type]"
"Brigham",3,172.935,"Reforestation [Type]"
"Brome",1,16.92,"Reforestation [Type]"
"Brome",2,7.83,"Reforestation [Type]"
"Brome",3,12.375,"Reforestation [Type]"
"Bromont",1,408.96,"Reforestation [Type]"
"Bromont",2,331.74,"Reforestation [Type]"
"Bromont",3,370.35,"Reforestation [Type]"
"Brossard",1,90.09,"Reforestation [Type]"
"Brossard",2,15.3,"Reforestation [Type]"
"Brossard",3,52.695,"Reforestation [Type]"
"Calixa-Lavallée",1,6.93,"Reforestation [Type]"
"Calixa-Lavallée",2,0.18,"Reforestation [Type]"
"Calixa-Lavallée",3,3.555,"Reforestation [Type]"
"Candiac",1,71.46,"Reforestation [Type]"
"Candiac",2,87.57,"Reforestation [Type]"
