"SecondaryStratumID","TransitionGroupID","Timestep","Amount","StratumID"
"Abercorn","Agricultural Expansion [Type]",1,12.24,"Monteregie"
"Abercorn","Agricultural Expansion [Type]",2,1.98,"Monteregie"
"Abercorn","Agricultural Loss [Type]",1,16.65,"Monteregie"
"Abercorn","Agricultural Loss [Type]",2,7.29,"Monteregie"
"Abercorn","Deforestation [Type]",1,18.9,"Monteregie"
"Abercorn","Deforestation [Type]",2,2.07,"Monteregie"
"Acton Vale","Agricultural Expansion [Type]",1,96.93,"Monteregie"
"Acton Vale","Agricultural Expansion [Type]",2,4.23,"Monteregie"
"Acton Vale","Agricultural Loss [Type]",1,38.7,"Monteregie"
"Acton Vale","Agricultural Loss [Type]",2,63,"Monteregie"
"Acton Vale","Deforestation [Type]",1,111.15,"Monteregie"
"Acton Vale","Deforestation [Type]",2,29.52,"Monteregie"
"Akwesasne","Agricultural Expansion [Type]",1,0.27,"Monteregie"
"Akwesasne","Agricultural Expansion [Type]",2,0,"Monteregie"
"Akwesasne","Agricultural Loss [Type]",1,0,"Monteregie"
"Akwesasne","Agricultural Loss [Type]",2,10.98,"Monteregie"
"Akwesasne","Deforestation [Type]",1,0.09,"Monteregie"
"Akwesasne","Deforestation [Type]",2,8.82,"Monteregie"
"Ange-Gardien","Agricultural Expansion [Type]",1,202.14,"Monteregie"
"Ange-Gardien","Agricultural Expansion [Type]",2,7.11,"Monteregie"
"Ange-Gardien","Agricultural Loss [Type]",1,10.89,"Monteregie"
"Ange-Gardien","Agricultural Loss [Type]",2,29.88,"Monteregie"
"Ange-Gardien","Deforestation [Type]",1,5.94,"Monteregie"
"Ange-Gardien","Deforestation [Type]",2,4.23,"Monteregie"
"Beauharnois","Agricultural Expansion [Type]",1,89.64,"Monteregie"
"Beauharnois","Agricultural Expansion [Type]",2,2.25,"Monteregie"
"Beauharnois","Agricultural Loss [Type]",1,43.47,"Monteregie"
"Beauharnois","Agricultural Loss [Type]",2,50.76,"Monteregie"
"Beauharnois","Deforestation [Type]",1,42.66,"Monteregie"
"Beauharnois","Deforestation [Type]",2,28.44,"Monteregie"
"Bedford","Agricultural Expansion [Type]",1,8.91,"Monteregie"
"Bedford","Agricultural Expansion [Type]",2,1.26,"Monteregie"
"Bedford","Agricultural Loss [Type]",1,21.96,"Monteregie"
"Bedford","Agricultural Loss [Type]",2,13.41,"Monteregie"
"Bedford","Deforestation [Type]",1,4.86,"Monteregie"
"Bedford","Deforestation [Type]",2,12.51,"Monteregie"
"Beloeil","Agricultural Expansion [Type]",1,4.86,"Monteregie"
"Beloeil","Agricultural Expansion [Type]",2,0,"Monteregie"
"Beloeil","Agricultural Loss [Type]",1,32.4,"Monteregie"
"Beloeil","Agricultural Loss [Type]",2,118.8,"Monteregie"
"Beloeil","Deforestation [Type]",1,3.69,"Monteregie"
"Beloeil","Deforestation [Type]",2,0.09,"Monteregie"
"Béthanie","Agricultural Expansion [Type]",1,237.33,"Monteregie"
"Béthanie","Agricultural Expansion [Type]",2,9.9,"Monteregie"
"Béthanie","Agricultural Loss [Type]",1,8.82,"Monteregie"
"Béthanie","Agricultural Loss [Type]",2,0.72,"Monteregie"
"Béthanie","Deforestation [Type]",1,13.59,"Monteregie"
"Béthanie","Deforestation [Type]",2,0.27,"Monteregie"
"Bolton-Ouest","Agricultural Expansion [Type]",1,119.43,"Monteregie"
"Bolton-Ouest","Agricultural Expansion [Type]",2,4.86,"Monteregie"
"Bolton-Ouest","Agricultural Loss [Type]",1,29.34,"Monteregie"
"Bolton-Ouest","Agricultural Loss [Type]",2,3.69,"Monteregie"
"Bolton-Ouest","Deforestation [Type]",1,186.39,"Monteregie"
"Bolton-Ouest","Deforestation [Type]",2,56.07,"Monteregie"
"Boucherville","Agricultural Expansion [Type]",1,59.67,"Monteregie"
"Boucherville","Agricultural Expansion [Type]",2,3.6,"Monteregie"
"Boucherville","Agricultural Loss [Type]",1,163.8,"Monteregie"
"Boucherville","Agricultural Loss [Type]",2,265.95,"Monteregie"
"Boucherville","Deforestation [Type]",1,85.68,"Monteregie"
"Boucherville","Deforestation [Type]",2,54.99,"Monteregie"
"Brigham","Agricultural Expansion [Type]",1,221.85,"Monteregie"
"Brigham","Agricultural Expansion [Type]",2,16.65,"Monteregie"
"Brigham","Agricultural Loss [Type]",1,42.39,"Monteregie"
"Brigham","Agricultural Loss [Type]",2,48.24,"Monteregie"
"Brigham","Deforestation [Type]",1,56.34,"Monteregie"
"Brigham","Deforestation [Type]",2,51.03,"Monteregie"
"Brome","Agricultural Expansion [Type]",1,16.11,"Monteregie"
"Brome","Agricultural Expansion [Type]",2,0.72,"Monteregie"
"Brome","Agricultural Loss [Type]",1,0.81,"Monteregie"
"Brome","Agricultural Loss [Type]",2,1.35,"Monteregie"
"Brome","Deforestation [Type]",1,0.81,"Monteregie"
"Brome","Deforestation [Type]",2,7.11,"Monteregie"
"Bromont","Agricultural Expansion [Type]",1,237.6,"Monteregie"
"Bromont","Agricultural Expansion [Type]",2,11.16,"Monteregie"
"Bromont","Agricultural Loss [Type]",1,52.83,"Monteregie"
"Bromont","Agricultural Loss [Type]",2,81,"Monteregie"
"Bromont","Deforestation [Type]",1,171.36,"Monteregie"
"Bromont","Deforestation [Type]",2,320.58,"Monteregie"
"Brossard","Agricultural Expansion [Type]",1,31.23,"Monteregie"
"Brossard","Agricultural Expansion [Type]",2,1.17,"Monteregie"
"Brossard","Agricultural Loss [Type]",1,109.26,"Monteregie"
"Brossard","Agricultural Loss [Type]",2,278.28,"Monteregie"
"Brossard","Deforestation [Type]",1,58.86,"Monteregie"
"Brossard","Deforestation [Type]",2,14.13,"Monteregie"
"Calixa-Lavallée","Agricultural Expansion [Type]",1,6.93,"Monteregie"
"Calixa-Lavallée","Agricultural Expansion [Type]",2,0.09,"Monteregie"
"Calixa-Lavallée","Agricultural Loss [Type]",1,5.22,"Monteregie"
"Calixa-Lavallée","Agricultural Loss [Type]",2,2.61,"Monteregie"
"Calixa-Lavallée","Deforestation [Type]",1,0,"Monteregie"
"Calixa-Lavallée","Deforestation [Type]",2,0.09,"Monteregie"
"Candiac","Agricultural Expansion [Type]",1,14.04,"Monteregie"
"Candiac","Agricultural Expansion [Type]",2,0.09,"Monteregie"
"Candiac","Agricultural Loss [Type]",1,39.51,"Monteregie"
"Candiac","Agricultural Loss [Type]",2,102.24,"Monteregie"
"Candiac","Deforestation [Type]",1,57.42,"Monteregie"
"Candiac","Deforestation [Type]",2,87.48,"Monteregie"
"Carignan","Agricultural Expansion [Type]",1,70.83,"Monteregie"
"Carignan","Agricultural Expansion [Type]",2,2.34,"Monteregie"
"Carignan","Agricultural Loss [Type]",1,34.38,"Monteregie"
"Carignan","Agricultural Loss [Type]",2,88.29,"Monteregie"
"Carignan","Deforestation [Type]",1,52.29,"Monteregie"
"Carignan","Deforestation [Type]",2,68.85,"Monteregie"
"Chambly","Agricultural Expansion [Type]",1,26.1,"Monteregie"
