"SecondaryStratumID","TransitionGroupID","Amount"
"Abercorn","Agricultural Expansion [Type]",0.711
"Abercorn","Agricultural Loss [Type]",1.197
"Abercorn","Deforestation [Type]",1.0485
"Acton Vale","Agricultural Expansion [Type]",5.058
"Acton Vale","Agricultural Loss [Type]",5.085
"Acton Vale","Deforestation [Type]",7.0335
"Akwesasne","Agricultural Expansion [Type]",0.0135
"Akwesasne","Agricultural Loss [Type]",0.549
"Akwesasne","Deforestation [Type]",0.4455
"Ange-Gardien","Agricultural Expansion [Type]",10.4625
"Ange-Gardien","Agricultural Loss [Type]",2.0385
"Ange-Gardien","Deforestation [Type]",0.5085
"Beauharnois","Agricultural Expansion [Type]",4.5945
"Beauharnois","Agricultural Loss [Type]",4.7115
"Beauharnois","Deforestation [Type]",3.555
"Bedford","Agricultural Expansion [Type]",0.5085
"Bedford","Agricultural Loss [Type]",1.7685
"Bedford","Deforestation [Type]",0.8685
"Beloeil","Agricultural Expansion [Type]",0.243
"Beloeil","Agricultural Loss [Type]",7.56
"Beloeil","Deforestation [Type]",0.189
"Béthanie","Agricultural Expansion [Type]",12.3615
"Béthanie","Agricultural Loss [Type]",0.477
"Béthanie","Deforestation [Type]",0.693
"Bolton-Ouest","Agricultural Expansion [Type]",6.2145
"Bolton-Ouest","Agricultural Loss [Type]",1.6515
"Bolton-Ouest","Deforestation [Type]",12.123
"Boucherville","Agricultural Expansion [Type]",3.1635
"Boucherville","Agricultural Loss [Type]",21.4875
"Boucherville","Deforestation [Type]",7.0335
"Brigham","Agricultural Expansion [Type]",11.925
"Brigham","Agricultural Loss [Type]",4.5315
"Brigham","Deforestation [Type]",5.3685
"Brome","Agricultural Expansion [Type]",0.8415
"Brome","Agricultural Loss [Type]",0.108
"Brome","Deforestation [Type]",0.396
"Bromont","Agricultural Expansion [Type]",12.438
"Bromont","Agricultural Loss [Type]",6.6915
"Bromont","Deforestation [Type]",24.597
"Brossard","Agricultural Expansion [Type]",1.62
"Brossard","Agricultural Loss [Type]",19.377
"Brossard","Deforestation [Type]",3.6495
"Calixa-Lavallée","Agricultural Expansion [Type]",0.351
"Calixa-Lavallée","Agricultural Loss [Type]",0.3915
"Calixa-Lavallée","Deforestation [Type]",0.0045
"Candiac","Agricultural Expansion [Type]",0.7065
"Candiac","Agricultural Loss [Type]",7.0875
"Candiac","Deforestation [Type]",7.245
"Carignan","Agricultural Expansion [Type]",3.6585
"Carignan","Agricultural Loss [Type]",6.1335
"Carignan","Deforestation [Type]",6.057
"Chambly","Agricultural Expansion [Type]",1.3275
"Chambly","Agricultural Loss [Type]",8.91
"Chambly","Deforestation [Type]",4.014
"Châteauguay","Agricultural Expansion [Type]",0.4095
"Châteauguay","Agricultural Loss [Type]",6.5295
"Châteauguay","Deforestation [Type]",4.653
"Contrecoeur","Agricultural Expansion [Type]",2.223
"Contrecoeur","Agricultural Loss [Type]",3.1365
"Contrecoeur","Deforestation [Type]",5.7555
"Coteau-du-Lac","Agricultural Expansion [Type]",1.395
"Coteau-du-Lac","Agricultural Loss [Type]",6.4935
"Coteau-du-Lac","Deforestation [Type]",3.375
"Cowansville","Agricultural Expansion [Type]",2.538
"Cowansville","Agricultural Loss [Type]",3.087
"Cowansville","Deforestation [Type]",7.3395
"Delson","Agricultural Expansion [Type]",0.027
"Delson","Agricultural Loss [Type]",3.717
"Delson","Deforestation [Type]",2.2095
"Dundee","Agricultural Expansion [Type]",13.788
"Dundee","Agricultural Loss [Type]",0.9765
"Dundee","Deforestation [Type]",0.081
"Dunham","Agricultural Expansion [Type]",7.6725
"Dunham","Agricultural Loss [Type]",5.724
"Dunham","Deforestation [Type]",8.5185
"East Farnham","Agricultural Expansion [Type]",0.6255
"East Farnham","Agricultural Loss [Type]",0.144
"East Farnham","Deforestation [Type]",0.5895
"Elgin","Agricultural Expansion [Type]",6.1515
"Elgin","Agricultural Loss [Type]",0.414
"Elgin","Deforestation [Type]",0.063
"Farnham","Agricultural Expansion [Type]",6.858
"Farnham","Agricultural Loss [Type]",4.797
"Farnham","Deforestation [Type]",5.8545
"Franklin","Agricultural Expansion [Type]",10.9395
"Franklin","Agricultural Loss [Type]",0.423
"Franklin","Deforestation [Type]",0.315
"Frelighsburg","Agricultural Expansion [Type]",2.3355
"Frelighsburg","Agricultural Loss [Type]",2.088
"Frelighsburg","Deforestation [Type]",3.1005
"Godmanchester","Agricultural Expansion [Type]",16.875
"Godmanchester","Agricultural Loss [Type]",1.251
"Godmanchester","Deforestation [Type]",0.324
"Granby","Agricultural Expansion [Type]",10.1295
"Granby","Agricultural Loss [Type]",14.004
"Granby","Deforestation [Type]",24.57
"Havelock","Agricultural Expansion [Type]",4.7655
"Havelock","Agricultural Loss [Type]",0.504
"Havelock","Deforestation [Type]",1.2465
"Hemmingford","Agricultural Expansion [Type]",8.667
"Hemmingford","Agricultural Loss [Type]",0.9945
"Hemmingford","Deforestation [Type]",1.2825
"Henryville","Agricultural Expansion [Type]",0.4905
"Henryville","Agricultural Loss [Type]",1.242
"Henryville","Deforestation [Type]",0.0855
"Hinchinbrooke","Agricultural Expansion [Type]",15.4755
"Hinchinbrooke","Agricultural Loss [Type]",2.52
"Hinchinbrooke","Deforestation [Type]",3.8295
"Howick","Agricultural Expansion [Type]",0.009
"Howick","Agricultural Loss [Type]",0.3375
"Howick","Deforestation [Type]",0.0045
"Hudson","Agricultural Expansion [Type]",0.738
"Hudson","Agricultural Loss [Type]",1.566
"Hudson","Deforestation [Type]",9.5265
"Huntingdon","Agricultural Expansion [Type]",0.0225
"Huntingdon","Agricultural Loss [Type]",1.125
"Huntingdon","Deforestation [Type]",0.0675
"Kahnawake","Agricultural Expansion [Type]",1.737
"Kahnawake","Agricultural Loss [Type]",2.3175
"Kahnawake","Deforestation [Type]",6.4845
"L'Île-Cadieux","Agricultural Expansion [Type]",0
"L'Île-Cadieux","Agricultural Loss [Type]",0
"L'Île-Cadieux","Deforestation [Type]",0
"L'Île-Perrot","Agricultural Expansion [Type]",0
"L'Île-Perrot","Agricultural Loss [Type]",0.072
"L'Île-Perrot","Deforestation [Type]",3.1545
"La Prairie","Agricultural Expansion [Type]",2.7405
"La Prairie","Agricultural Loss [Type]",4.0545
"La Prairie","Deforestation [Type]",3.7935
"La Présentation","Agricultural Expansion [Type]",4.032
"La Présentation","Agricultural Loss [Type]",0.6795
"La Présentation","Deforestation [Type]",0.5175
"Lac-Brome","Agricultural Expansion [Type]",16.3845
"Lac-Brome","Agricultural Loss [Type]",5.0805
"Lac-Brome","Deforestation [Type]",21.3525
"Lacolle","Agricultural Expansion [Type]",1.305
"Lacolle","Agricultural Loss [Type]",1.6245
"Lacolle","Deforestation [Type]",0.1305
"Léry","Agricultural Expansion [Type]",0.45
"Léry","Agricultural Loss [Type]",0.531
"Léry","Deforestation [Type]",0.711
"Les Cèdres","Agricultural Expansion [Type]",1.9305
"Les Cèdres","Agricultural Loss [Type]",10.683
"Les Cèdres","Deforestation [Type]",2.5155
"Les Coteaux","Agricultural Expansion [Type]",0.8685
"Les Coteaux","Agricultural Loss [Type]",2.9205
"Les Coteaux","Deforestation [Type]",2.2455
"Longueuil","Agricultural Expansion [Type]",3.5775
"Longueuil","Agricultural Loss [Type]",13.3695
"Longueuil","Deforestation [Type]",14.5305
"Marieville","Agricultural Expansion [Type]",4.086
"Marieville","Agricultural Loss [Type]",5.409
"Marieville","Deforestation [Type]",0.279
"Massueville","Agricultural Expansion [Type]",0.108
"Massueville","Agricultural Loss [Type]",0.3825
"Massueville","Deforestation [Type]",0.081
"McMasterville","Agricultural Expansion [Type]",0.0045
"McMasterville","Agricultural Loss [Type]",2.2905
"McMasterville","Deforestation [Type]",0.198
"Mercier","Agricultural Expansion [Type]",2.2725
"Mercier","Agricultural Loss [Type]",6.6915
"Mercier","Deforestation [Type]",1.1835
"Mont-Saint-Grégoire","Agricultural Expansion [Type]",4.437
"Mont-Saint-Grégoire","Agricultural Loss [Type]",2.853
"Mont-Saint-Grégoire","Deforestation [Type]",0.1485
"Mont-Saint-Hilaire","Agricultural Expansion [Type]",1.485
"Mont-Saint-Hilaire","Agricultural Loss [Type]",10.026
"Mont-Saint-Hilaire","Deforestation [Type]",8.109
"Napierville","Agricultural Expansion [Type]",0.009
"Napierville","Agricultural Loss [Type]",1.683
"Napierville","Deforestation [Type]",0.396
"Notre-Dame-de-l'Île-Perrot","Agricultural Expansion [Type]",0.2205
"Notre-Dame-de-l'Île-Perrot","Agricultural Loss [Type]",3.168
"Notre-Dame-de-l'Île-Perrot","Deforestation [Type]",5.8545
"Notre-Dame-de-Stanbridge","Agricultural Expansion [Type]",0.2205
"Notre-Dame-de-Stanbridge","Agricultural Loss [Type]",0.702
"Notre-Dame-de-Stanbridge","Deforestation [Type]",0.0405
"Noyan","Agricultural Expansion [Type]",1.1295
"Noyan","Agricultural Loss [Type]",3.825
"Noyan","Deforestation [Type]",1.098
"Ormstown","Agricultural Expansion [Type]",10.4625
"Ormstown","Agricultural Loss [Type]",1.539
"Ormstown","Deforestation [Type]",0.6345
"Otterburn Park","Agricultural Expansion [Type]",0.1485
"Otterburn Park","Agricultural Loss [Type]",0.7965
"Otterburn Park","Deforestation [Type]",2.673
"Pike River","Agricultural Expansion [Type]",0.1395
"Pike River","Agricultural Loss [Type]",0.6615
"Pike River","Deforestation [Type]",0.207
"Pincourt","Agricultural Expansion [Type]",0
"Pincourt","Agricultural Loss [Type]",0.2655
"Pincourt","Deforestation [Type]",6.2145
"Pointe-des-Cascades","Agricultural Expansion [Type]",0.081
"Pointe-des-Cascades","Agricultural Loss [Type]",0.351
"Pointe-des-Cascades","Deforestation [Type]",0.7065
"Pointe-Fortune","Agricultural Expansion [Type]",0.7605
"Pointe-Fortune","Agricultural Loss [Type]",0.4815
"Pointe-Fortune","Deforestation [Type]",0.9945
"Richelieu","Agricultural Expansion [Type]",1.98
"Richelieu","Agricultural Loss [Type]",1.773
"Richelieu","Deforestation [Type]",0.279
"Rigaud","Agricultural Expansion [Type]",1.8405
"Rigaud","Agricultural Loss [Type]",7.2945
"Rigaud","Deforestation [Type]",10.8
"Rivière-Beaudette","Agricultural Expansion [Type]",0.837
"Rivière-Beaudette","Agricultural Loss [Type]",3.105
"Rivière-Beaudette","Deforestation [Type]",2.961
"Rougemont","Agricultural Expansion [Type]",2.7495
"Rougemont","Agricultural Loss [Type]",0.8955
"Rougemont","Deforestation [Type]",0.5625
"Roxton","Agricultural Expansion [Type]",8.928
"Roxton","Agricultural Loss [Type]",1.476
"Roxton","Deforestation [Type]",1.1205
"Roxton Falls","Agricultural Expansion [Type]",0.162
"Roxton Falls","Agricultural Loss [Type]",0.7695
"Roxton Falls","Deforestation [Type]",0.9
"Roxton Pond","Agricultural Expansion [Type]",10.2015
"Roxton Pond","Agricultural Loss [Type]",0.846
"Roxton Pond","Deforestation [Type]",3.6315
"Saint-Aimé","Agricultural Expansion [Type]",3.8835
"Saint-Aimé","Agricultural Loss [Type]",0.8055
"Saint-Aimé","Deforestation [Type]",0.0585
"Saint-Alexandre","Agricultural Expansion [Type]",2.43
"Saint-Alexandre","Agricultural Loss [Type]",0.756
"Saint-Alexandre","Deforestation [Type]",0.4545
"Saint-Alphonse-de-Granby","Agricultural Expansion [Type]",4.7205
"Saint-Alphonse-de-Granby","Agricultural Loss [Type]",1.4445
"Saint-Alphonse-de-Granby","Deforestation [Type]",10.2375
"Saint-Amable","Agricultural Expansion [Type]",2.2545
"Saint-Amable","Agricultural Loss [Type]",6.273
"Saint-Amable","Deforestation [Type]",2.025
"Saint-Anicet","Agricultural Expansion [Type]",8.1675
"Saint-Anicet","Agricultural Loss [Type]",5.3775
"Saint-Anicet","Deforestation [Type]",3.645
"Saint-Antoine-sur-Richelieu","Agricultural Expansion [Type]",2.8845
"Saint-Antoine-sur-Richelieu","Agricultural Loss [Type]",1.0215
"Saint-Antoine-sur-Richelieu","Deforestation [Type]",0.054
"Saint-Armand","Agricultural Expansion [Type]",3.3885
"Saint-Armand","Agricultural Loss [Type]",1.5975
"Saint-Armand","Deforestation [Type]",2.457
"Saint-Barnabé-Sud","Agricultural Expansion [Type]",1.98
"Saint-Barnabé-Sud","Agricultural Loss [Type]",0.1305
"Saint-Barnabé-Sud","Deforestation [Type]",0.0135
"Saint-Basile-le-Grand","Agricultural Expansion [Type]",1.179
"Saint-Basile-le-Grand","Agricultural Loss [Type]",8.8695
"Saint-Basile-le-Grand","Deforestation [Type]",0.738
"Saint-Bernard-de-Lacolle","Agricultural Expansion [Type]",1.521
"Saint-Bernard-de-Lacolle","Agricultural Loss [Type]",3.051
"Saint-Bernard-de-Lacolle","Deforestation [Type]",1.2285
"Saint-Bernard-de-Michaudville","Agricultural Expansion [Type]",3.618
"Saint-Bernard-de-Michaudville","Agricultural Loss [Type]",0.279
"Saint-Bernard-de-Michaudville","Deforestation [Type]",0.009
"Saint-Blaise-sur-Richelieu","Agricultural Expansion [Type]",0.108
"Saint-Blaise-sur-Richelieu","Agricultural Loss [Type]",3.0465
"Saint-Blaise-sur-Richelieu","Deforestation [Type]",0.576
"Saint-Bruno-de-Montarville","Agricultural Expansion [Type]",2.304
"Saint-Bruno-de-Montarville","Agricultural Loss [Type]",11.7405
"Saint-Bruno-de-Montarville","Deforestation [Type]",7.8705
"Saint-Césaire","Agricultural Expansion [Type]",4.8645
"Saint-Césaire","Agricultural Loss [Type]",2.7
"Saint-Césaire","Deforestation [Type]",0.27
"Saint-Charles-sur-Richelieu","Agricultural Expansion [Type]",3.3255
"Saint-Charles-sur-Richelieu","Agricultural Loss [Type]",0.4365
"Saint-Charles-sur-Richelieu","Deforestation [Type]",0.0765
"Saint-Chrysostome","Agricultural Expansion [Type]",12.87
"Saint-Chrysostome","Agricultural Loss [Type]",1.305
"Saint-Chrysostome","Deforestation [Type]",1.0035
"Saint-Clet","Agricultural Expansion [Type]",0.7875
"Saint-Clet","Agricultural Loss [Type]",1.917
"Saint-Clet","Deforestation [Type]",0.036
"Saint-Constant","Agricultural Expansion [Type]",1.7055
"Saint-Constant","Agricultural Loss [Type]",5.436
"Saint-Constant","Deforestation [Type]",1.3635
"Saint-Cyprien-de-Napierville","Agricultural Expansion [Type]",0.531
"Saint-Cyprien-de-Napierville","Agricultural Loss [Type]",2.0295
