Name,ID,Color
Agricultural Loss,1,"105, 246, 202, 56"
Reforestation,2,"83, 214, 116, 154"
Agricultural Expansion,3,"93, 203, 6, 73"
Deforestation,4,"161, 172, 151, 202"
decid_2_to_decid_1,5,"68, 59, 15, 237"
decid_3_to_decid_1,6,"71, 134, 211, 63"
mixt_1_to_decid_1,7,"82, 149, 50, 51"
mixt_2_to_decid_1,8,"39, 25, 170, 190"
mixt_3_to_decid_1,9,"213, 14, 77, 180"
conif_1_to_decid_1,10,"131, 194, 105, 240"
conif_2_to_decid_1,11,"180, 87, 100, 64"
conif_3_to_decid_1,12,"145, 247, 253, 43"
decid_1_to_decid_2,13,"130, 65, 77, 186"
decid_3_to_decid_2,14,"253, 191, 103, 154"
mixt_1_to_decid_2,15,"242, 9, 161, 139"
mixt_2_to_decid_2,16,"84, 212, 38, 21"
mixt_3_to_decid_2,17,"170, 203, 186, 91"
conif_1_to_decid_2,18,"135, 96, 233, 51"
conif_2_to_decid_2,19,"82, 191, 233, 12"
conif_3_to_decid_2,20,"249, 47, 193, 190"
decid_1_to_decid_3,21,"127, 234, 183, 244"
decid_2_to_decid_3,22,"250, 115, 170, 127"
mixt_1_to_decid_3,23,"68, 217, 124, 130"
mixt_2_to_decid_3,24,"77, 70, 151, 83"
mixt_3_to_decid_3,25,"105, 243, 44, 173"
conif_1_to_decid_3,26,"42, 176, 54, 139"
conif_2_to_decid_3,27,"26, 97, 53, 121"
conif_3_to_decid_3,28,"172, 159, 177, 45"
decid_1_to_mixt_1,29,"131, 239, 167, 77"
decid_2_to_mixt_1,30,"192, 112, 74, 174"
decid_3_to_mixt_1,31,"178, 200, 119, 72"
mixt_2_to_mixt_1,32,"249, 84, 218, 24"
mixt_3_to_mixt_1,33,"84, 22, 47, 171"
conif_1_to_mixt_1,34,"70, 129, 85, 101"
conif_2_to_mixt_1,35,"245, 104, 25, 228"
conif_3_to_mixt_1,36,"153, 184, 89, 37"
decid_1_to_mixt_2,37,"111, 215, 32, 154"
decid_2_to_mixt_2,38,"51, 55, 73, 171"
decid_3_to_mixt_2,39,"75, 240, 109, 3"
mixt_1_to_mixt_2,40,"129, 185, 92, 122"
mixt_3_to_mixt_2,41,"2, 188, 49, 223"
conif_1_to_mixt_2,42,"160, 143, 216, 181"
conif_2_to_mixt_2,43,"63, 125, 199, 57"
conif_3_to_mixt_2,44,"67, 127, 22, 38"
decid_1_to_mixt_3,45,"207, 171, 126, 187"
decid_2_to_mixt_3,46,"32, 128, 13, 169"
decid_3_to_mixt_3,47,"219, 72, 28, 148"
mixt_1_to_mixt_3,48,"237, 232, 63, 4"
mixt_2_to_mixt_3,49,"230, 91, 101, 167"
conif_1_to_mixt_3,50,"53, 199, 25, 46"
conif_2_to_mixt_3,51,"226, 62, 209, 14"
conif_3_to_mixt_3,52,"163, 149, 170, 243"
decid_1_to_conif_1,53,"186, 235, 109, 250"
decid_2_to_conif_1,54,"171, 101, 75, 173"
decid_3_to_conif_1,55,"234, 90, 121, 208"
mixt_1_to_conif_1,56,"208, 172, 77, 210"
mixt_2_to_conif_1,57,"35, 25, 208, 24"
mixt_3_to_conif_1,58,"95, 209, 29, 153"
conif_2_to_conif_1,59,"212, 126, 196, 218"
conif_3_to_conif_1,60,"17, 149, 132, 90"
decid_1_to_conif_2,61,"223, 95, 200, 51"
decid_2_to_conif_2,62,"106, 48, 238, 7"
decid_3_to_conif_2,63,"222, 210, 57, 41"
mixt_1_to_conif_2,64,"111, 192, 206, 168"
mixt_2_to_conif_2,65,"213, 143, 121, 198"
mixt_3_to_conif_2,66,"254, 242, 164, 149"
conif_1_to_conif_2,67,"35, 238, 28, 159"
conif_3_to_conif_2,68,"229, 106, 46, 10"
decid_1_to_conif_3,69,"91, 92, 215, 113"
decid_2_to_conif_3,70,"172, 74, 201, 171"
decid_3_to_conif_3,71,"168, 204, 214, 71"
mixt_1_to_conif_3,72,"25, 158, 141, 156"
mixt_2_to_conif_3,73,"24, 233, 169, 70"
mixt_3_to_conif_3,74,"10, 79, 21, 76"
conif_1_to_conif_3,75,"231, 232, 140, 44"
conif_2_to_conif_3,76,"42, 187, 84, 72"
