TransitionTypeID,TransitionGroupID,IsAuto
Agricultural Expansion,Agricultural Expansion [Type],TRUE
Agricultural Expansion,Agricultural Expansion Gr,NA
Agricultural Loss,Agricultural Loss [Type],TRUE
Agricultural Loss,Urbanisation,NA
conif_1_to_conif_2,conif_1_to_conif_2 [Type],TRUE
conif_1_to_conif_2,Forest Internals Gr,NA
conif_1_to_conif_3,conif_1_to_conif_3 [Type],TRUE
conif_1_to_conif_3,Forest Internals Gr,NA
conif_1_to_decid_1,conif_1_to_decid_1 [Type],TRUE
conif_1_to_decid_1,Forest Internals Gr,NA
conif_1_to_decid_2,conif_1_to_decid_2 [Type],TRUE
conif_1_to_decid_2,Forest Internals Gr,NA
conif_1_to_decid_3,conif_1_to_decid_3 [Type],TRUE
conif_1_to_decid_3,Forest Internals Gr,NA
conif_1_to_mixt_1,conif_1_to_mixt_1 [Type],TRUE
conif_1_to_mixt_1,Forest Internals Gr,NA
conif_1_to_mixt_2,conif_1_to_mixt_2 [Type],TRUE
conif_1_to_mixt_2,Forest Internals Gr,NA
conif_1_to_mixt_3,conif_1_to_mixt_3 [Type],TRUE
conif_1_to_mixt_3,Forest Internals Gr,NA
conif_2_to_conif_1,conif_2_to_conif_1 [Type],TRUE
conif_2_to_conif_1,Forest Internals Gr,NA
conif_2_to_conif_3,conif_2_to_conif_3 [Type],TRUE
conif_2_to_conif_3,Forest Internals Gr,NA
conif_2_to_decid_1,conif_2_to_decid_1 [Type],TRUE
conif_2_to_decid_1,Forest Internals Gr,NA
conif_2_to_decid_2,conif_2_to_decid_2 [Type],TRUE
conif_2_to_decid_2,Forest Internals Gr,NA
conif_2_to_decid_3,conif_2_to_decid_3 [Type],TRUE
conif_2_to_decid_3,Forest Internals Gr,NA
conif_2_to_mixt_1,conif_2_to_mixt_1 [Type],TRUE
conif_2_to_mixt_1,Forest Internals Gr,NA
conif_2_to_mixt_2,conif_2_to_mixt_2 [Type],TRUE
conif_2_to_mixt_2,Forest Internals Gr,NA
conif_2_to_mixt_3,conif_2_to_mixt_3 [Type],TRUE
conif_2_to_mixt_3,Forest Internals Gr,NA
conif_3_to_conif_1,conif_3_to_conif_1 [Type],TRUE
conif_3_to_conif_1,Forest Internals Gr,NA
conif_3_to_conif_2,conif_3_to_conif_2 [Type],TRUE
conif_3_to_conif_2,Forest Internals Gr,NA
conif_3_to_decid_1,conif_3_to_decid_1 [Type],TRUE
conif_3_to_decid_1,Forest Internals Gr,NA
conif_3_to_decid_2,conif_3_to_decid_2 [Type],TRUE
conif_3_to_decid_2,Forest Internals Gr,NA
conif_3_to_decid_3,conif_3_to_decid_3 [Type],TRUE
conif_3_to_decid_3,Forest Internals Gr,NA
conif_3_to_mixt_1,conif_3_to_mixt_1 [Type],TRUE
conif_3_to_mixt_1,Forest Internals Gr,NA
conif_3_to_mixt_2,conif_3_to_mixt_2 [Type],TRUE
conif_3_to_mixt_2,Forest Internals Gr,NA
conif_3_to_mixt_3,conif_3_to_mixt_3 [Type],TRUE
conif_3_to_mixt_3,Forest Internals Gr,NA
decid_1_to_conif_1,decid_1_to_conif_1 [Type],TRUE
decid_1_to_conif_1,Forest Internals Gr,NA
decid_1_to_conif_2,decid_1_to_conif_2 [Type],TRUE
decid_1_to_conif_2,Forest Internals Gr,NA
decid_1_to_conif_3,decid_1_to_conif_3 [Type],TRUE
decid_1_to_conif_3,Forest Internals Gr,NA
decid_1_to_decid_2,decid_1_to_decid_2 [Type],TRUE
decid_1_to_decid_2,Forest Internals Gr,NA
decid_1_to_decid_3,decid_1_to_decid_3 [Type],TRUE
decid_1_to_decid_3,Forest Internals Gr,NA
decid_1_to_mixt_1,decid_1_to_mixt_1 [Type],TRUE
decid_1_to_mixt_1,Forest Internals Gr,NA
decid_1_to_mixt_2,decid_1_to_mixt_2 [Type],TRUE
decid_1_to_mixt_2,Forest Internals Gr,NA
decid_1_to_mixt_3,decid_1_to_mixt_3 [Type],TRUE
decid_1_to_mixt_3,Forest Internals Gr,NA
decid_2_to_conif_1,decid_2_to_conif_1 [Type],TRUE
decid_2_to_conif_1,Forest Internals Gr,NA
decid_2_to_conif_2,decid_2_to_conif_2 [Type],TRUE
decid_2_to_conif_2,Forest Internals Gr,NA
decid_2_to_conif_3,decid_2_to_conif_3 [Type],TRUE
decid_2_to_conif_3,Forest Internals Gr,NA
decid_2_to_decid_1,decid_2_to_decid_1 [Type],TRUE
decid_2_to_decid_1,Forest Internals Gr,NA
decid_2_to_decid_3,decid_2_to_decid_3 [Type],TRUE
decid_2_to_decid_3,Forest Internals Gr,NA
decid_2_to_mixt_1,decid_2_to_mixt_1 [Type],TRUE
decid_2_to_mixt_1,Forest Internals Gr,NA
decid_2_to_mixt_2,decid_2_to_mixt_2 [Type],TRUE
decid_2_to_mixt_2,Forest Internals Gr,NA
decid_2_to_mixt_3,decid_2_to_mixt_3 [Type],TRUE
decid_2_to_mixt_3,Forest Internals Gr,NA
decid_3_to_conif_1,decid_3_to_conif_1 [Type],TRUE
decid_3_to_conif_1,Forest Internals Gr,NA
decid_3_to_conif_2,decid_3_to_conif_2 [Type],TRUE
decid_3_to_conif_2,Forest Internals Gr,NA
decid_3_to_conif_3,decid_3_to_conif_3 [Type],TRUE
decid_3_to_conif_3,Forest Internals Gr,NA
decid_3_to_decid_1,decid_3_to_decid_1 [Type],TRUE
decid_3_to_decid_1,Forest Internals Gr,NA
decid_3_to_decid_2,decid_3_to_decid_2 [Type],TRUE
decid_3_to_decid_2,Forest Internals Gr,NA
decid_3_to_mixt_1,decid_3_to_mixt_1 [Type],TRUE
decid_3_to_mixt_1,Forest Internals Gr,NA
decid_3_to_mixt_2,decid_3_to_mixt_2 [Type],TRUE
decid_3_to_mixt_2,Forest Internals Gr,NA
decid_3_to_mixt_3,decid_3_to_mixt_3 [Type],TRUE
decid_3_to_mixt_3,Forest Internals Gr,NA
Deforestation,Deforestation [Type],TRUE
Deforestation,Urbanisation,NA
mixt_1_to_conif_1,mixt_1_to_conif_1 [Type],TRUE
mixt_1_to_conif_1,Forest Internals Gr,NA
mixt_1_to_conif_2,mixt_1_to_conif_2 [Type],TRUE
mixt_1_to_conif_2,Forest Internals Gr,NA
mixt_1_to_conif_3,mixt_1_to_conif_3 [Type],TRUE
mixt_1_to_conif_3,Forest Internals Gr,NA
mixt_1_to_decid_1,mixt_1_to_decid_1 [Type],TRUE
mixt_1_to_decid_1,Forest Internals Gr,NA
mixt_1_to_decid_2,mixt_1_to_decid_2 [Type],TRUE
mixt_1_to_decid_2,Forest Internals Gr,NA
mixt_1_to_decid_3,mixt_1_to_decid_3 [Type],TRUE
mixt_1_to_decid_3,Forest Internals Gr,NA
mixt_1_to_mixt_2,mixt_1_to_mixt_2 [Type],TRUE
mixt_1_to_mixt_2,Forest Internals Gr,NA
mixt_1_to_mixt_3,mixt_1_to_mixt_3 [Type],TRUE
mixt_1_to_mixt_3,Forest Internals Gr,NA
mixt_2_to_conif_1,mixt_2_to_conif_1 [Type],TRUE
mixt_2_to_conif_1,Forest Internals Gr,NA
mixt_2_to_conif_2,mixt_2_to_conif_2 [Type],TRUE
mixt_2_to_conif_2,Forest Internals Gr,NA
mixt_2_to_conif_3,mixt_2_to_conif_3 [Type],TRUE
mixt_2_to_conif_3,Forest Internals Gr,NA
mixt_2_to_decid_1,mixt_2_to_decid_1 [Type],TRUE
mixt_2_to_decid_1,Forest Internals Gr,NA
mixt_2_to_decid_2,mixt_2_to_decid_2 [Type],TRUE
mixt_2_to_decid_2,Forest Internals Gr,NA
mixt_2_to_decid_3,mixt_2_to_decid_3 [Type],TRUE
mixt_2_to_decid_3,Forest Internals Gr,NA
mixt_2_to_mixt_1,mixt_2_to_mixt_1 [Type],TRUE
mixt_2_to_mixt_1,Forest Internals Gr,NA
mixt_2_to_mixt_3,mixt_2_to_mixt_3 [Type],TRUE
mixt_2_to_mixt_3,Forest Internals Gr,NA
mixt_3_to_conif_1,mixt_3_to_conif_1 [Type],TRUE
mixt_3_to_conif_1,Forest Internals Gr,NA
mixt_3_to_conif_2,mixt_3_to_conif_2 [Type],TRUE
mixt_3_to_conif_2,Forest Internals Gr,NA
mixt_3_to_conif_3,mixt_3_to_conif_3 [Type],TRUE
mixt_3_to_conif_3,Forest Internals Gr,NA
mixt_3_to_decid_1,mixt_3_to_decid_1 [Type],TRUE
mixt_3_to_decid_1,Forest Internals Gr,NA
mixt_3_to_decid_2,mixt_3_to_decid_2 [Type],TRUE
mixt_3_to_decid_2,Forest Internals Gr,NA
mixt_3_to_decid_3,mixt_3_to_decid_3 [Type],TRUE
mixt_3_to_decid_3,Forest Internals Gr,NA
mixt_3_to_mixt_1,mixt_3_to_mixt_1 [Type],TRUE
mixt_3_to_mixt_1,Forest Internals Gr,NA
mixt_3_to_mixt_2,mixt_3_to_mixt_2 [Type],TRUE
mixt_3_to_mixt_2,Forest Internals Gr,NA
Reforestation,Reforestation [Type],TRUE
Reforestation,Reforestation,NA
