"from_time","to_time","land_type","age_before","age_after","from_cover","to_cover","probability","area_transition"
0,20,2,1,1,1,1,1,48600
0,20,2,2,2,1,1,1,24300
0,20,2,3,3,1,1,1,8100
0,20,2,3,1,2,1,0.333333333333333,16200
0,20,2,3,2,2,1,0.5,24300
0,20,2,3,1,2,2,0.166666666666667,8100
0,20,2,2,2,3,3,0.333333333333333,16200
0,20,2,2,3,3,3,0.666666666666667,32400
0,20,2,3,2,3,3,1,16200
0,20,3,1,1,1,1,1,24300
0,20,3,2,1,1,1,0.288888888888889,105300
0,20,3,2,2,1,1,0.666666666666667,243000
0,20,3,2,1,1,2,0.0222222222222222,8100
0,20,3,2,2,1,2,0.0222222222222222,8100
0,20,3,2,2,2,1,0.0714285714285714,8100
0,20,3,3,2,2,1,0.176470588235294,24300
0,20,3,2,2,2,2,0.857142857142857,97200
0,20,3,2,3,2,2,0.0714285714285714,8100
0,20,3,3,2,2,2,0.647058823529412,89100
0,20,3,3,3,2,2,0.176470588235294,24300
0,20,3,2,1,3,1,0.142857142857143,8100
0,20,3,2,2,3,1,0.142857142857143,8100
0,20,3,2,2,3,2,0.714285714285714,40500
0,20,4,1,1,1,1,0.816037127755576,51273000
0,20,4,1,2,1,1,0.16694598427227,10489500
0,20,4,2,1,1,1,0.143864552190303,35858700
0,20,4,2,2,1,1,0.807097361237489,201171600
0,20,4,2,3,1,1,0.0373716365527103,9315000
0,20,4,3,1,1,1,0.0941728804197735,2762100
0,20,4,3,2,1,1,0.776304888152444,22769100
0,20,4,3,3,1,1,0.128693731013532,3774600
0,20,4,1,1,1,2,0.0137939925228826,866700
0,20,4,1,2,1,2,0.00322289544927163,202500
0,20,4,2,1,1,2,0.00350968412842844,874800
0,20,4,2,2,1,2,0.0081567658910698,2033100
0,20,4,3,1,1,2,0.000828500414250207,24300
0,20,4,1,1,2,1,0.191244239631336,2016900
0,20,4,1,2,2,1,0.00768049155145929,81000
0,20,4,2,1,2,1,0.0739214310768151,6828300
0,20,4,2,2,2,1,0.112592072956857,10400400
0,20,4,2,3,2,1,0.00315678709224833,291600
0,20,4,3,2,2,1,0.276898734177215,1417500
0,20,4,3,3,2,1,0.0411392405063291,210600
0,20,4,1,1,2,2,0.745775729646697,7865100
0,20,4,1,2,2,2,0.0552995391705069,583200
0,20,4,2,1,2,2,0.3334794808839,30804300
0,20,4,2,2,2,2,0.445983865310417,41196600
0,20,4,2,3,2,2,0.0251666082076464,2324700
0,20,4,3,1,2,2,0.00474683544303797,24300
0,20,4,3,2,2,2,0.568037974683544,2907900
0,20,4,3,3,2,2,0.109177215189873,558900
0,20,4,2,1,2,3,0.000526131182041389,48600
0,20,4,2,2,2,3,0.00394598386531042,364500
0,20,4,2,3,2,3,0.00122763942476324,113400
0,20,4,1,1,3,1,0.00306748466257669,16200
0,20,4,2,1,3,1,0.0031717263253285,56700
0,20,4,2,2,3,1,0.00181241504304486,32400
0,20,4,3,1,3,1,0.00444444444444444,48600
0,20,4,3,2,3,1,0.0155555555555556,170100
0,20,4,3,3,3,1,0.00444444444444444,48600
0,20,4,1,1,3,2,0.840490797546012,4438800
0,20,4,2,1,3,2,0.155867693701858,2786400
0,20,4,2,2,3,2,0.293611236973267,5248800
0,20,4,2,3,3,2,0.00226551880380607,40500
0,20,4,3,1,3,2,0.175555555555556,1919700
0,20,4,3,2,3,2,0.202962962962963,2219400
0,20,4,3,3,3,2,0.0207407407407407,226800
0,20,4,1,1,3,3,0.144171779141104,761400
0,20,4,1,2,3,3,0.0122699386503067,64800
0,20,4,2,1,3,3,0.0883552333484368,1579500
0,20,4,2,2,3,3,0.412324422292705,7371000
0,20,4,2,3,3,3,0.0425917535115541,761400
0,20,4,3,1,3,3,0.141481481481481,1547100
0,20,4,3,2,3,3,0.367407407407407,4017600
0,20,4,3,3,3,3,0.0674074074074074,737100
0,20,5,1,1,1,1,0.807612456747405,37810800
0,20,5,1,2,1,1,0.179065743944637,8383500
0,20,5,2,1,1,1,0.141644325290438,25677000
0,20,5,2,2,1,1,0.807283288650581,146342700
0,20,5,2,3,1,1,0.0425379803395889,7711200
0,20,5,3,1,1,1,0.0659722222222222,1231200
0,20,5,3,2,1,1,0.764322916666667,14264100
0,20,5,3,3,1,1,0.169704861111111,3167100
0,20,5,1,1,1,2,0.0112456747404844,526500
0,20,5,1,2,1,2,0.00207612456747405,97200
0,20,5,2,1,1,2,0.00326184092940125,591300
0,20,5,2,2,1,2,0.00527256478999106,955800
0,20,5,1,1,2,1,0.0268292682926829,178200
0,20,5,1,2,2,1,0.00121951219512195,8100
0,20,5,2,1,2,1,0.0569460390355913,4017600
0,20,5,2,2,2,1,0.105166475315729,7419600
0,20,5,2,3,2,1,0.000459242250287026,32400
0,20,5,3,1,2,1,0.00263157894736842,8100
0,20,5,3,2,2,1,0.355263157894737,1093500
0,20,5,3,3,2,1,0.0447368421052632,137700
0,20,5,1,1,2,2,0.884146341463415,5872500
0,20,5,1,2,2,2,0.0878048780487805,583200
0,20,5,2,1,2,2,0.321125143513203,22655700
0,20,5,2,2,2,2,0.47187141216992,33291000
0,20,5,2,3,2,2,0.0324913892078071,2292300
0,20,5,3,1,2,2,0.0157894736842105,48600
0,20,5,3,2,2,2,0.494736842105263,1522800
0,20,5,3,3,2,2,0.0868421052631579,267300
0,20,5,2,1,2,3,0.00068886337543054,48600
0,20,5,2,2,2,3,0.0101033295063146,712800
0,20,5,2,3,2,3,0.00114810562571757,81000
0,20,5,2,1,3,1,0.012301013024602,137700
0,20,5,2,2,3,1,0.012301013024602,137700
0,20,5,3,2,3,1,0.0242424242424242,129600
0,20,5,1,1,3,2,0.856236786469345,3280500
0,20,5,2,1,3,2,0.204775687409551,2292300
0,20,5,2,2,3,2,0.281476121562952,3150900
0,20,5,2,3,3,2,0.00217076700434153,24300
0,20,5,3,1,3,2,0.113636363636364,607500
0,20,5,3,2,3,2,0.304545454545455,1628100
0,20,5,3,3,3,2,0.0227272727272727,121500
0,20,5,1,1,3,3,0.124735729386892,477900
0,20,5,1,2,3,3,0.0190274841437632,72900
0,20,5,2,1,3,3,0.130969609261939,1466100
0,20,5,2,2,3,3,0.310419681620839,3474900
0,20,5,2,3,3,3,0.0455861070911722,510300
0,20,5,3,1,3,3,0.118181818181818,631800
0,20,5,3,2,3,3,0.346969696969697,1854900
0,20,5,3,3,3,3,0.0696969696969697,372600
0,20,6,1,1,1,1,0.819760157508502,37098000
0,20,6,1,2,1,1,0.163594057633793,7403400
0,20,6,2,1,1,1,0.142177863565745,24462000
0,20,6,2,2,1,1,0.815310013652841,140275800
0,20,6,2,3,1,1,0.0351207570265053,6042600
0,20,6,3,1,1,1,0.0920146856356127,3248100
0,20,6,3,2,1,1,0.774667278568151,27345600
0,20,6,3,3,1,1,0.131941257457549,4657500
0,20,6,1,1,1,2,0.0118131376409522,534600
0,20,6,1,2,1,2,0.00483264721675318,218700
0,20,6,2,1,1,2,0.00244809566404595,421200
0,20,6,2,2,1,2,0.00484911256532178,834300
0,20,6,2,3,1,2,9.41575255402288e-05,16200
0,20,6,3,1,1,2,0.00114731528223956,40500
0,20,6,3,2,1,2,0.000229463056447912,8100
