"from_time","to_time","land_type","age_before","age_after","from_cover","to_cover","probability","area_transition"
0,20,2,1,1,1,1,1,48600
0,20,2,2,2,1,1,1,24300
0,20,2,3,2,1,1,1,8100
0,20,2,3,1,2,1,0.333333333333333,16200
0,20,2,3,2,2,1,0.166666666666667,8100
0,20,2,3,1,2,2,0.333333333333333,16200
0,20,2,3,2,2,2,0.166666666666667,8100
0,20,2,2,3,3,3,1,48600
0,20,2,3,2,3,3,1,16200
0,20,3,1,1,1,1,1,24300
0,20,3,2,1,1,1,0.2,72900
0,20,3,2,2,1,1,0.8,291600
0,20,3,2,3,2,1,0.0714285714285714,8100
0,20,3,3,2,2,1,0.294117647058824,40500
0,20,3,2,2,2,2,0.642857142857143,72900
0,20,3,2,3,2,2,0.285714285714286,32400
0,20,3,3,2,2,2,0.529411764705882,72900
0,20,3,3,3,2,2,0.176470588235294,24300
0,20,3,2,1,3,2,0.142857142857143,8100
0,20,3,2,2,3,2,0.857142857142857,48600
0,20,4,1,1,1,1,0.787288900348073,49466700
0,20,4,1,2,1,1,0.197241201495423,12393000
0,20,4,2,1,1,1,0.130833225009749,32610600
0,20,4,2,2,1,1,0.81587157155856,203358600
0,20,4,2,3,1,1,0.0445859872611465,11113200
0,20,4,3,1,1,1,0.0817453742060204,2397600
0,20,4,3,2,1,1,0.767467550400442,22509900
0,20,4,3,3,1,1,0.149958574979287,4398300
0,20,4,1,1,1,2,0.0127626659791156,801900
0,20,4,1,2,1,2,0.00270723217738817,170100
0,20,4,2,1,1,2,0.00282724554790069,704700
0,20,4,2,2,1,2,0.00588197062264396,1466100
0,20,4,3,1,1,2,0.000276166804750069,8100
0,20,4,3,2,1,2,0.000552333609500138,16200
0,20,4,1,1,2,1,0.188940092165899,1992600
0,20,4,1,2,2,1,0.0138248847926267,145800
0,20,4,2,1,2,1,0.0719045948789898,6642000
0,20,4,2,2,2,1,0.118204138898632,10918800
0,20,4,2,3,2,1,0.00280603297088741,259200
0,20,4,3,2,2,1,0.261075949367089,1336500
0,20,4,3,3,2,1,0.0474683544303797,243000
0,20,4,1,1,2,2,0.725038402457757,7646400
0,20,4,1,2,2,2,0.0721966205837174,761400
0,20,4,2,1,2,2,0.312346545071905,28852200
0,20,4,2,2,2,2,0.455804980708523,42103800
0,20,4,2,3,2,2,0.033321641529288,3078000
0,20,4,3,1,2,2,0.00474683544303797,24300
0,20,4,3,2,2,2,0.596518987341772,3053700
0,20,4,3,3,2,2,0.0901898734177215,461700
0,20,4,2,1,2,3,0.000350754121360926,32400
0,20,4,2,2,2,3,0.00341985268326903,315900
0,20,4,2,3,2,3,0.00184145913714486,170100
0,20,4,1,1,3,1,0.00613496932515337,32400
0,20,4,2,1,3,1,0.0031717263253285,56700
0,20,4,2,2,3,1,0.00226551880380607,40500
0,20,4,3,1,3,1,0.00444444444444444,48600
0,20,4,3,2,3,1,0.0148148148148148,162000
0,20,4,3,3,3,1,0.00518518518518519,56700
0,20,4,1,1,3,2,0.826687116564417,4365900
0,20,4,2,1,3,2,0.134571816946081,2405700
0,20,4,2,2,3,2,0.286814680561849,5127300
0,20,4,2,3,3,2,0.00226551880380607,40500
0,20,4,3,1,3,2,0.148888888888889,1628100
0,20,4,3,2,3,2,0.198518518518519,2170800
0,20,4,3,3,3,2,0.0140740740740741,153900
0,20,4,1,1,3,3,0.157975460122699,834300
0,20,4,1,2,3,3,0.00920245398773006,48600
0,20,4,2,1,3,3,0.0928862709560489,1660500
0,20,4,2,2,3,3,0.422292705029452,7549200
0,20,4,2,3,3,3,0.0557317625736294,996300
0,20,4,3,1,3,3,0.171851851851852,1879200
0,20,4,3,2,3,3,0.368888888888889,4033800
0,20,4,3,3,3,3,0.0733333333333333,801900
0,20,5,1,1,1,1,0.811418685121107,37989000
0,20,5,1,2,1,1,0.176297577854671,8253900
0,20,5,2,1,1,1,0.139544235924933,25296300
0,20,5,2,2,1,1,0.807506702412869,146383200
0,20,5,2,3,1,1,0.0434316353887399,7873200
0,20,5,3,1,1,1,0.0638020833333333,1190700
0,20,5,3,2,1,1,0.754340277777778,14077800
0,20,5,3,3,1,1,0.181857638888889,3393900
0,20,5,1,1,1,2,0.0107266435986159,502200
0,20,5,1,2,1,2,0.00155709342560554,72900
0,20,5,2,1,1,2,0.00361930294906166,656100
0,20,5,2,2,1,2,0.00589812332439678,1069200
0,20,5,1,1,2,1,0.0780487804878049,518400
0,20,5,2,1,2,1,0.0526980482204363,3717900
0,20,5,2,2,2,1,0.100918484500574,7119900
0,20,5,2,3,2,1,0.000229621125143513,16200
0,20,5,3,1,2,1,0.0105263157894737,32400
0,20,5,3,2,2,1,0.318421052631579,980100
0,20,5,3,3,2,1,0.0578947368421053,178200
0,20,5,1,1,2,2,0.819512195121951,5443200
0,20,5,1,2,2,2,0.101219512195122,672300
0,20,5,2,1,2,2,0.320091848450057,22582800
0,20,5,2,2,2,2,0.477611940298507,33696000
0,20,5,2,3,2,2,0.0340987370838117,2405700
0,20,5,3,1,2,2,0.00789473684210526,24300
0,20,5,3,2,2,2,0.539473684210526,1660500
0,20,5,3,3,2,2,0.0657894736842105,202500
0,20,5,1,1,2,3,0.00121951219512195,8100
0,20,5,2,1,2,3,0.000459242250287026,32400
0,20,5,2,2,2,3,0.0119402985074627,842400
0,20,5,2,3,2,3,0.00195177956371986,137700
0,20,5,2,1,3,1,0.0108538350217077,121500
0,20,5,2,2,3,1,0.00795947901591896,89100
0,20,5,3,2,3,1,0.0166666666666667,89100
0,20,5,3,3,3,1,0.00606060606060606,32400
0,20,5,1,1,3,2,0.841437632135307,3223800
0,20,5,2,1,3,2,0.194645441389291,2178900
0,20,5,2,2,3,2,0.283646888567294,3175200
0,20,5,2,3,3,2,0.00361794500723589,40500
0,20,5,3,1,3,2,0.106060606060606,567000
0,20,5,3,2,3,2,0.296969696969697,1587600
0,20,5,3,3,3,2,0.0303030303030303,162000
0,20,5,1,1,3,3,0.152219873150106,583200
0,20,5,1,2,3,3,0.00634249471458774,24300
0,20,5,2,1,3,3,0.126628075253256,1417500
0,20,5,2,2,3,3,0.322720694645441,3612600
0,20,5,2,3,3,3,0.0499276410998553,558900
0,20,5,3,1,3,3,0.121212121212121,648000
0,20,5,3,2,3,3,0.342424242424242,1830600
0,20,5,3,3,3,3,0.0803030303030303,429300
0,20,6,1,1,1,1,0.780204045104707,35307900
0,20,6,1,2,1,1,0.207803830320387,9404100
0,20,6,2,1,1,1,0.127348053293159,21910500
0,20,6,2,2,1,1,0.81907631467445,140923800
0,20,6,2,3,1,1,0.0478791017372063,8237700
0,20,6,3,1,1,1,0.0858191831115191,3029400
0,20,6,3,2,1,1,0.759522716842588,26811000
0,20,6,3,3,1,1,0.153510784763653,5418900
0,20,6,1,1,1,2,0.00787542509396814,356400
0,20,6,1,2,1,2,0.00411669948093789,186300
0,20,6,2,1,1,2,0.00141236288310343,243000
0,20,6,2,2,1,2,0.00419000988654018,720900
0,20,6,2,3,1,2,9.41575255402288e-05,16200
0,20,6,3,1,1,2,0.000917852225791648,32400
0,20,6,3,2,1,2,0.000229463056447912,8100
0,20,6,1,1,2,1,0.15979381443299,1004400
0,20,6,1,2,2,1,0.0180412371134021,113400
