species,iteration,timestep,scenario,numNodes,numLinks,totArea,meanArea,totQuality,meanQuality,totAreaQuality,meanAreaQuality,totCost,meanCost,overallECgap,overallECnatal
BLBR,1,0,37,7750,21605,3892098600,502206.27096774196,6305.20832540099,0.8135752677936762,32921563.244677816,4247.943644474557,2549504,118.00527655635271,6162252.176774439,16859073.31111277
BLBR,1,1,37,6790,18856,3735995400,550220.235640648,5537.115227540483,0.8154808877084658,31720786.97919082,4671.691749512639,2443120,129.56724649978787,5991818.942520564,16235704.123306463
BLBR,1,2,37,6879,19092,3682008900,535253.5106846925,5641.901439395854,0.8201630236074798,31322270.982799344,4553.317485506519,2535360,132.79698302954114,5927740.90283451,15976696.029839976
BLBR,10,0,37,7750,21605,3892098600,502206.27096774196,6305.20832540099,0.8135752677936762,32921563.244677816,4247.943644474557,2549504,118.00527655635271,6162252.176774439,16859073.31111277
BLBR,10,1,37,6764,18822,3733265700,551931.6528681254,5525.757866078021,0.8169364083497961,31696176.27273448,4686.0106849104795,2454424,130.40187015194985,5967507.854073321,16211075.381418027
BLBR,10,2,37,6867,19104,3679497900,535823.1979030144,5630.781212973347,0.8199768767982156,31296346.43291651,4557.499116487041,2540664,132.99120603015075,5862418.217812747,15941841.055125417
BLBR,2,0,37,7750,21605,3892098600,502206.27096774196,6305.20832540099,0.8135752677936762,32921563.244677816,4247.943644474557,2549504,118.00527655635271,6162252.176774439,16859073.31111277
BLBR,2,1,37,6749,18771,3737534400,553790.8430878649,5531.18351722729,0.8195560108500948,31730953.768751774,4701.578569973592,2454080,130.73784028554687,5989531.492598339,16215190.58602764
BLBR,2,2,37,6812,18944,3684471300,540879.5214327658,5613.711112314071,0.8240914727413493,31340094.958932836,4600.718578821615,2539912,134.0747466216216,5925115.244366431,16009521.070505751
BLBR,3,0,37,7750,21605,3892098600,502206.27096774196,6305.20832540099,0.8135752677936762,32921563.244677816,4247.943644474557,2549504,118.00527655635271,6162252.176774439,16859073.31111277
BLBR,3,1,37,6784,18868,3737599200,550943.2783018867,5522.372711969779,0.8140289964578094,31724119.95257426,4676.314851499744,2434328,129.0188679245283,5967300.796065616,16182935.57756942
BLBR,3,2,37,6879,19092,3684552300,535623.2446576537,5632.7930755114,0.8188389410541359,31326748.459043544,4553.968376078434,2546520,133.38152105593963,5885490.5983933015,15926245.134253295
BLBR,4,0,37,7750,21605,3892098600,502206.27096774196,6305.20832540099,0.8135752677936762,32921563.244677816,4247.943644474557,2549504,118.00527655635271,6162252.176774439,16859073.31111277
BLBR,4,1,37,6715,18583,3736068300,556376.5152643336,5494.4778826256525,0.8182394464073942,31721557.33363071,4723.984710890649,2413432,129.8731098315665,5978299.245706891,16192667.550857836
BLBR,4,2,37,6815,18887,3682430100,540341.9075568599,5596.779743541685,0.8212442763817586,31321697.313592874,4595.993736403943,2519544,133.40096362577432,5870383.723643224,15912040.534729132
BLBR,5,0,37,7750,21605,3892098600,502206.27096774196,6305.20832540099,0.8135752677936762,32921563.244677816,4247.943644474557,2549504,118.00527655635271,6162252.176774439,16859073.31111277
BLBR,5,1,37,6778,18789,3735873900,551176.438477427,5538.97376335572,0.8171988438117025,31713942.116412263,4678.952805608183,2445864,130.1753153440843,5964001.873170637,16188079.238118837
BLBR,5,2,37,6858,19014,3682405800,536950.3937007874,5635.454986904567,0.8217344687816516,31312265.49817232,4565.801326650965,2546840,133.94551383191333,5860730.557764305,15900863.98070697
BLBR,6,0,37,7750,21605,3892098600,502206.27096774196,6305.20832540099,0.8135752677936762,32921563.244677816,4247.943644474557,2549504,118.00527655635271,6162252.176774439,16859073.31111277
BLBR,6,1,37,6793,18884,3735201600,549860.3856911527,5541.623774013174,0.8157844507600728,31709061.49295853,4667.902472097531,2451424,129.81486973098922,5953252.724491095,16140019.366511881
BLBR,6,2,37,6912,19193,3682106100,532712.109375,5654.506372094342,0.8180709450367971,31315352.9515316,4530.577683960012,2556640,133.2068983483562,5868817.384497647,15899283.28928634
BLBR,7,0,37,7750,21605,3892098600,502206.27096774196,6305.20832540099,0.8135752677936762,32921563.244677816,4247.943644474557,2549504,118.00527655635271,6162252.176774439,16859073.31111277
BLBR,7,1,37,6761,18812,3734942400,552424.5525809792,5507.606967830473,0.8146142534877197,31709654.232200686,4690.083453956617,2442696,129.84775675101002,5957628.040616989,16193731.478267668
BLBR,7,2,37,6853,19066,3681871200,537264.1470888662,5612.565909016831,0.8189940039423363,31315570.430744536,4569.614830110103,2545304,133.4996328542956,5856916.97235536,15903812.638145426
BLBR,8,0,37,7750,21605,3892098600,502206.27096774196,6305.20832540099,0.8135752677936762,32921563.244677816,4247.943644474557,2549504,118.00527655635271,6162252.176774439,16859073.31111277
BLBR,8,1,37,6813,18986,3734245800,548105.9445178335,5555.696708698894,0.8154552632759275,31706469.313925605,4653.819068534508,2466216,129.89655535657855,5980999.1765852645,16214588.303407168
BLBR,8,2,37,6899,19196,3680299800,533454.0947963473,5643.741103668533,0.8180520515536357,31305248.627700794,4537.650185200869,2561200,133.4236299229006,5857995.779462719,15880102.805184519
BLBR,9,0,37,7750,21605,3892098600,502206.27096774196,6305.20832540099,0.8135752677936762,32921563.244677816,4247.943644474557,2549504,118.00527655635271,6162252.176774439,16859073.31111277
BLBR,9,1,37,6751,18786,3734197200,553132.4544511924,5520.722030209674,0.8177635950540179,31705992.99428016,4696.488371245765,2458544,130.87107420419463,5939788.9357017055,16193969.302925946
BLBR,9,2,37,6849,19047,3680291700,537347.3061760841,5630.310025887496,0.8220630786811937,31306727.849596966,4570.992531697615,2551240,133.94445319472882,5856582.907098821,15925021.944429958
BLBR,1,10,39,6514,17981,2869749000,440550.9671476819,5797.38762607079,0.8899888894797037,26324995.598123446,4041.2949951064543,2930552,162.98047939491684,5068310.41894162,12803589.428623386
BLBR,1,11,39,6492,17879,2778518700,427991.1737523105,5817.4966016676635,0.8961023724072187,25598427.457662776,3943.0726213282155,2967616,165.983332401141,4943664.791647502,12236716.129675213
BLBR,1,2,39,6041,16842,3687751800,610453.865254097,4918.418925574527,0.8141729722851393,31362318.427467458,5191.577293075229,2337040,138.76261726635792,5820411.911446261,15879736.894112311
BLBR,1,3,39,6071,16910,3580556400,589780.3327293692,4999.381051809715,0.8234855957518885,30618772.664332762,5043.44797633549,2433776,143.92525133057362,5673780.209223456,15467886.2651129
BLBR,1,4,39,6178,17152,3474843300,562454.4027193267,5145.513939309543,0.8328769730187024,30064362.311057065,4866.358418753167,2559528,149.22621268656715,5600654.603983904,15177105.38872637
BLBR,1,5,39,6274,17423,3369551400,537065.890978642,5286.747350392673,0.8426438237795144,29475695.77264801,4698.070732012753,2682808,153.980829937439,5527600.689928505,14886768.897280725
BLBR,1,6,39,6398,17766,3265814700,510443.06033135357,5462.463306827106,0.8537766969095195,28974590.755127568,4528.6950226832705,2791288,157.11403805020828,5449417.972865031,14601617.93046787
BLBR,1,7,39,6513,18053,3167618400,486353.2012897282,5636.018164394427,0.8653490195600225,28400791.947970543,4360.631344690702,2861216,158.48978009195145,5377420.025306089,14259377.55407181
BLBR,1,8,39,6530,18093,3066190200,469554.3950995406,5721.774482922923,0.876228864153587,27789522.857063245,4255.669656518107,2907688,160.70789808213118,5273618.247674004,13890846.911662022
BLBR,1,9,39,6494,17956,2966827500,456856.71388974437,5732.934132898241,0.882804763304318,27075967.26572966,4169.38208588384,2897656,161.3753619959902,5178914.516055911,13322826.383478988
BLBR,10,10,39,6630,18285,2867610600,432520.45248868776,5925.09760837593,0.8936798805996877,26307118.106262468,3967.891117083328,2974656,162.68285479901562,4951278.43098461,12860434.04707551
BLBR,10,11,39,6635,18250,2776283100,418430.00753579504,5961.671462868537,0.8985186831753635,25566317.175256494,3853.2505162406173,3045696,166.88745205479455,4765632.77207751,12331945.919863882
BLBR,10,2,39,6041,16842,3687751800,610453.865254097,4918.418925574527,0.8141729722851393,31362318.427467458,5191.577293075229,2337040,138.76261726635792,5820411.911446261,15879736.894112311
BLBR,10,3,39,6059,16834,3581034300,591027.2817296584,4993.54035953617,0.8241525597518023,30614925.452326633,5052.8016920822965,2415992,143.5185933230367,5676534.564239924,15464579.942903053
BLBR,10,4,39,6215,17267,3475912500,559277.9565567176,5174.806893921914,0.8326318413390046,30055150.102028698,4835.905084799469,2554888,147.96363004575198,5603842.56500366,15181799.8172767
BLBR,10,5,39,6302,17507,3371074200,534921.3265629959,5313.400211342172,0.8431291988800654,29475169.395357616,4677.113518780961,2664104,152.1736448277832,5557876.262439206,14889429.753474189
BLBR,10,6,39,6412,17766,3269103300,509841.43792888336,5471.732713831646,0.8533581899300757,28985608.24707841,4520.525303661636,2777064,156.31340763255656,5467395.412518739,14595353.23604048
BLBR,10,7,39,6537,18095,3167561700,484558.92611289583,5650.999669232971,0.8644637707255578,28399622.21904451,4344.442744231988,2859984,158.05382702403978,5406615.42022948,14285428.055509029
BLBR,10,8,39,6584,18168,3066643800,465772.1445929526,5768.063149256011,0.8760727747958703,27797096.557477593,4221.916245060388,2891872,159.17393218846323,5270385.028838255,13970669.692527957
