zone,mean,species,timestep
1,8.847934836013871e-4,BLBR,0
2,7.072395862945739e-4,BLBR,0
3,7.097111350562185e-4,BLBR,0
4,3.1313844033908515e-4,BLBR,0
5,6.352758133384989e-4,BLBR,0
6,6.560171404396197e-4,BLBR,0
7,8.45069463622561e-4,BLBR,0
8,6.782517562997359e-4,BLBR,0
9,7.751091947062823e-4,BLBR,0
10,8.042508221960051e-4,BLBR,0
11,6.054835685288204e-4,BLBR,0
12,7.580874116138576e-4,BLBR,0
13,4.1313072052638053e-4,BLBR,0
14,6.343167923638475e-4,BLBR,0
15,6.645831877146306e-4,BLBR,0
16,8.408485791514087e-4,BLBR,0
17,6.597041275184478e-4,BLBR,0
18,7.934992552071272e-4,BLBR,0
19,7.391418542045591e-4,BLBR,0
20,6.498358563563284e-4,BLBR,0
21,7.331431778862609e-4,BLBR,0
22,6.173214753192811e-4,BLBR,0
23,6.843426700028174e-4,BLBR,0
24,6.554058537039664e-4,BLBR,0
25,6.64286679666214e-4,BLBR,0
26,6.77061198029131e-4,BLBR,0
27,6.706236962438365e-4,BLBR,0
28,5.92186268683885e-4,BLBR,0
29,7.24848584364614e-4,BLBR,0
30,8.036738261691295e-4,BLBR,0
31,7.246187000734305e-4,BLBR,0
32,5.58601838295501e-4,BLBR,0
33,6.281852211498784e-4,BLBR,0
34,6.295420898729995e-4,BLBR,0
35,5.951515754955155e-4,BLBR,0
36,9.351172558767713e-4,BLBR,0
37,8.51376224985726e-4,BLBR,0
38,4.741570253008574e-4,BLBR,0
39,6.342988406867415e-4,BLBR,0
40,6.545336139257593e-4,BLBR,0
41,5.115049502411066e-4,BLBR,0
42,4.376383006910539e-4,BLBR,0
43,5.816537413791119e-4,BLBR,0
44,6.938108947875061e-4,BLBR,0
45,7.166657934105439e-4,BLBR,0
46,4.7349986971103165e-4,BLBR,0
47,9.692742639395147e-4,BLBR,0
48,3.822377143828458e-4,BLBR,0
49,5.90254591310551e-4,BLBR,0
50,5.728708404330299e-4,BLBR,0
51,5.510586743131074e-4,BLBR,0
52,6.405962241821494e-4,BLBR,0
53,6.386222092393456e-4,BLBR,0
54,9.368553807278785e-4,BLBR,0
55,5.69262442288722e-4,BLBR,0
56,7.090103172638745e-4,BLBR,0
57,4.636473790214477e-4,BLBR,0
58,3.9452449479517417e-4,BLBR,0
59,8.670815328576821e-4,BLBR,0
60,7.014093205253237e-4,BLBR,0
61,5.751096966768663e-4,BLBR,0
62,7.815678155382267e-4,BLBR,0
63,2.3112081610218358e-4,BLBR,0
64,5.888609560351859e-4,BLBR,0
65,0.001032676018094906,BLBR,0
66,6.866293778631842e-4,BLBR,0
67,5.072183574570117e-4,BLBR,0
68,4.0591899875778737e-4,BLBR,0
69,6.155342886386325e-4,BLBR,0
70,5.378852244389203e-4,BLBR,0
71,7.427961604932014e-4,BLBR,0
72,6.93625558396354e-4,BLBR,0
73,4.5148597408758273e-4,BLBR,0
74,6.264848444155488e-4,BLBR,0
75,8.012976812094751e-4,BLBR,0
76,5.435491694096316e-4,BLBR,0
77,8.799189483450578e-4,BLBR,0
78,6.315236155132997e-4,BLBR,0
79,5.502953008986119e-4,BLBR,0
80,5.513584565265117e-4,BLBR,0
