species,ts,n,bins
BLBR,0,1,0.7083937516475629
BLBR,0,0,0.7287861629466448
BLBR,0,0,0.7491785742457266
BLBR,0,0,0.7695709855448086
BLBR,0,0,0.7899633968438905
BLBR,0,0,0.8103558081429724
BLBR,0,0,0.8307482194420542
BLBR,0,0,0.8511406307411362
BLBR,0,0,0.8715330420402181
BLBR,0,0,0.8919254533393
BLBR,0,0,0.9123178646383818
BLBR,0,0,0.9327102759374637
BLBR,0,1,0.9531026872365456
BLBR,0,0,0.9734950985356275
BLBR,0,1,0.9938875098347094
BLBR,0,0,1.0142799211337914
BLBR,0,0,1.0346723324328733
BLBR,0,0,1.0550647437319551
BLBR,0,0,1.075457155031037
BLBR,0,0,1.0958495663301189
BLBR,0,2,1.1162419776292007
BLBR,0,0,1.1366343889282826
BLBR,0,0,1.1570268002273645
BLBR,0,0,1.1774192115264466
BLBR,0,1,1.1978116228255282
BLBR,0,1,1.2182040341246103
BLBR,0,0,1.2385964454236922
BLBR,0,0,1.258988856722774
BLBR,0,2,1.279381268021856
BLBR,0,0,1.2997736793209378
BLBR,0,2,1.3201660906200199
BLBR,0,0,1.3405585019191015
BLBR,0,1,1.3609509132181836
BLBR,0,1,1.3813433245172653
BLBR,0,1,1.4017357358163474
BLBR,0,2,1.4221281471154292
BLBR,0,0,1.442520558414511
BLBR,0,0,1.462912969713593
BLBR,0,1,1.4833053810126748
BLBR,0,2,1.503697792311757
BLBR,0,0,1.5240902036108386
BLBR,0,3,1.5444826149099207
BLBR,0,2,1.5648750262090023
BLBR,0,1,1.5852674375080844
BLBR,0,3,1.6056598488071663
BLBR,0,2,1.6260522601062481
BLBR,0,0,1.64644467140533
BLBR,0,2,1.6668370827044119
BLBR,0,1,1.6872294940034938
BLBR,0,5,1.7076219053025756
BLBR,0,2,1.7280143166016575
BLBR,0,2,1.7484067279007396
BLBR,0,3,1.7687991391998215
BLBR,0,2,1.7891915504989033
BLBR,0,1,1.8095839617979852
BLBR,0,3,1.829976373097067
BLBR,0,4,1.850368784396149
BLBR,0,1,1.8707611956952308
BLBR,0,2,1.8911536069943127
BLBR,0,3,1.9115460182933945
BLBR,0,4,1.9319384295924766
BLBR,0,1,1.9523308408915585
BLBR,0,1,1.9727232521906404
BLBR,0,7,1.9931156634897222
BLBR,0,3,2.0135080747888043
BLBR,0,3,2.033900486087886
BLBR,0,4,2.0542928973869676
BLBR,0,6,2.0746853086860497
BLBR,0,6,2.095077719985132
BLBR,0,5,2.115470131284214
BLBR,0,7,2.1358625425832956
BLBR,0,4,2.156254953882377
BLBR,0,0,2.1766473651814593
BLBR,0,2,2.1970397764805414
BLBR,0,2,2.217432187779623
BLBR,0,2,2.2378245990787047
BLBR,0,7,2.2582170103777868
BLBR,0,4,2.278609421676869
BLBR,0,11,2.299001832975951
