Trans,From,To,Freq,Municipality
1990to2000,11,11,NA,Sainte-Anne-de-Sorel
1990to2000,21,11,NA,Sainte-Anne-de-Sorel
1990to2000,25,11,NA,Sainte-Anne-de-Sorel
1990to2000,31,11,NA,Sainte-Anne-de-Sorel
1990to2000,41,11,NA,Sainte-Anne-de-Sorel
1990to2000,42,11,NA,Sainte-Anne-de-Sorel
1990to2000,45,11,NA,Sainte-Anne-de-Sorel
1990to2000,46,11,NA,Sainte-Anne-de-Sorel
1990to2000,51,11,NA,Sainte-Anne-de-Sorel
1990to2000,61,11,NA,Sainte-Anne-de-Sorel
1990to2000,62,11,NA,Sainte-Anne-de-Sorel
1990to2000,71,11,NA,Sainte-Anne-de-Sorel
1990to2000,73,11,NA,Sainte-Anne-de-Sorel
1990to2000,74,11,NA,Sainte-Anne-de-Sorel
1990to2000,91,11,NA,Sainte-Anne-de-Sorel
1990to2000,11,21,NA,Sainte-Anne-de-Sorel
1990to2000,21,21,1805,Sainte-Anne-de-Sorel
1990to2000,25,21,0,Sainte-Anne-de-Sorel
1990to2000,31,21,0,Sainte-Anne-de-Sorel
1990to2000,41,21,58,Sainte-Anne-de-Sorel
1990to2000,42,21,0,Sainte-Anne-de-Sorel
1990to2000,45,21,21,Sainte-Anne-de-Sorel
1990to2000,46,21,0,Sainte-Anne-de-Sorel
1990to2000,51,21,323,Sainte-Anne-de-Sorel
1990to2000,61,21,NA,Sainte-Anne-de-Sorel
1990to2000,62,21,0,Sainte-Anne-de-Sorel
1990to2000,71,21,4,Sainte-Anne-de-Sorel
1990to2000,73,21,48,Sainte-Anne-de-Sorel
1990to2000,74,21,10,Sainte-Anne-de-Sorel
1990to2000,91,21,0,Sainte-Anne-de-Sorel
1990to2000,11,25,NA,Sainte-Anne-de-Sorel
1990to2000,21,25,0,Sainte-Anne-de-Sorel
1990to2000,25,25,589,Sainte-Anne-de-Sorel
1990to2000,31,25,0,Sainte-Anne-de-Sorel
1990to2000,41,25,0,Sainte-Anne-de-Sorel
1990to2000,42,25,0,Sainte-Anne-de-Sorel
1990to2000,45,25,0,Sainte-Anne-de-Sorel
1990to2000,46,25,0,Sainte-Anne-de-Sorel
1990to2000,51,25,3,Sainte-Anne-de-Sorel
1990to2000,61,25,NA,Sainte-Anne-de-Sorel
1990to2000,62,25,0,Sainte-Anne-de-Sorel
1990to2000,71,25,0,Sainte-Anne-de-Sorel
1990to2000,73,25,1,Sainte-Anne-de-Sorel
1990to2000,74,25,0,Sainte-Anne-de-Sorel
1990to2000,91,25,0,Sainte-Anne-de-Sorel
1990to2000,11,31,NA,Sainte-Anne-de-Sorel
1990to2000,21,31,0,Sainte-Anne-de-Sorel
1990to2000,25,31,0,Sainte-Anne-de-Sorel
1990to2000,31,31,4775,Sainte-Anne-de-Sorel
1990to2000,41,31,0,Sainte-Anne-de-Sorel
1990to2000,42,31,0,Sainte-Anne-de-Sorel
1990to2000,45,31,0,Sainte-Anne-de-Sorel
1990to2000,46,31,0,Sainte-Anne-de-Sorel
1990to2000,51,31,0,Sainte-Anne-de-Sorel
1990to2000,61,31,NA,Sainte-Anne-de-Sorel
1990to2000,62,31,0,Sainte-Anne-de-Sorel
1990to2000,71,31,0,Sainte-Anne-de-Sorel
1990to2000,73,31,0,Sainte-Anne-de-Sorel
1990to2000,74,31,0,Sainte-Anne-de-Sorel
1990to2000,91,31,0,Sainte-Anne-de-Sorel
1990to2000,11,41,NA,Sainte-Anne-de-Sorel
1990to2000,21,41,0,Sainte-Anne-de-Sorel
1990to2000,25,41,0,Sainte-Anne-de-Sorel
1990to2000,31,41,0,Sainte-Anne-de-Sorel
1990to2000,41,41,16253,Sainte-Anne-de-Sorel
1990to2000,42,41,0,Sainte-Anne-de-Sorel
1990to2000,45,41,0,Sainte-Anne-de-Sorel
1990to2000,46,41,0,Sainte-Anne-de-Sorel
1990to2000,51,41,0,Sainte-Anne-de-Sorel
1990to2000,61,41,NA,Sainte-Anne-de-Sorel
1990to2000,62,41,0,Sainte-Anne-de-Sorel
1990to2000,71,41,0,Sainte-Anne-de-Sorel
1990to2000,73,41,0,Sainte-Anne-de-Sorel
1990to2000,74,41,0,Sainte-Anne-de-Sorel
1990to2000,91,41,0,Sainte-Anne-de-Sorel
1990to2000,11,42,NA,Sainte-Anne-de-Sorel
1990to2000,21,42,0,Sainte-Anne-de-Sorel
1990to2000,25,42,0,Sainte-Anne-de-Sorel
1990to2000,31,42,0,Sainte-Anne-de-Sorel
1990to2000,41,42,0,Sainte-Anne-de-Sorel
1990to2000,42,42,2171,Sainte-Anne-de-Sorel
1990to2000,45,42,0,Sainte-Anne-de-Sorel
1990to2000,46,42,0,Sainte-Anne-de-Sorel
1990to2000,51,42,0,Sainte-Anne-de-Sorel
1990to2000,61,42,NA,Sainte-Anne-de-Sorel
1990to2000,62,42,0,Sainte-Anne-de-Sorel
1990to2000,71,42,0,Sainte-Anne-de-Sorel
1990to2000,73,42,0,Sainte-Anne-de-Sorel
1990to2000,74,42,0,Sainte-Anne-de-Sorel
1990to2000,91,42,0,Sainte-Anne-de-Sorel
1990to2000,11,45,NA,Sainte-Anne-de-Sorel
1990to2000,21,45,0,Sainte-Anne-de-Sorel
1990to2000,25,45,0,Sainte-Anne-de-Sorel
1990to2000,31,45,0,Sainte-Anne-de-Sorel
1990to2000,41,45,48,Sainte-Anne-de-Sorel
1990to2000,42,45,0,Sainte-Anne-de-Sorel
1990to2000,45,45,332,Sainte-Anne-de-Sorel
1990to2000,46,45,0,Sainte-Anne-de-Sorel
1990to2000,51,45,0,Sainte-Anne-de-Sorel
1990to2000,61,45,NA,Sainte-Anne-de-Sorel
1990to2000,62,45,0,Sainte-Anne-de-Sorel
1990to2000,71,45,0,Sainte-Anne-de-Sorel
1990to2000,73,45,0,Sainte-Anne-de-Sorel
1990to2000,74,45,0,Sainte-Anne-de-Sorel
1990to2000,91,45,0,Sainte-Anne-de-Sorel
1990to2000,11,46,NA,Sainte-Anne-de-Sorel
1990to2000,21,46,0,Sainte-Anne-de-Sorel
1990to2000,25,46,0,Sainte-Anne-de-Sorel
1990to2000,31,46,0,Sainte-Anne-de-Sorel
1990to2000,41,46,0,Sainte-Anne-de-Sorel
1990to2000,42,46,0,Sainte-Anne-de-Sorel
1990to2000,45,46,0,Sainte-Anne-de-Sorel
1990to2000,46,46,384,Sainte-Anne-de-Sorel
1990to2000,51,46,0,Sainte-Anne-de-Sorel
1990to2000,61,46,NA,Sainte-Anne-de-Sorel
1990to2000,62,46,0,Sainte-Anne-de-Sorel
1990to2000,71,46,0,Sainte-Anne-de-Sorel
1990to2000,73,46,0,Sainte-Anne-de-Sorel
1990to2000,74,46,0,Sainte-Anne-de-Sorel
1990to2000,91,46,0,Sainte-Anne-de-Sorel
1990to2000,11,51,NA,Sainte-Anne-de-Sorel
1990to2000,21,51,0,Sainte-Anne-de-Sorel
1990to2000,25,51,0,Sainte-Anne-de-Sorel
1990to2000,31,51,0,Sainte-Anne-de-Sorel
1990to2000,41,51,37,Sainte-Anne-de-Sorel
1990to2000,42,51,0,Sainte-Anne-de-Sorel
1990to2000,45,51,94,Sainte-Anne-de-Sorel
1990to2000,46,51,0,Sainte-Anne-de-Sorel
1990to2000,51,51,13152,Sainte-Anne-de-Sorel
1990to2000,61,51,NA,Sainte-Anne-de-Sorel
1990to2000,62,51,0,Sainte-Anne-de-Sorel
1990to2000,71,51,0,Sainte-Anne-de-Sorel
1990to2000,73,51,0,Sainte-Anne-de-Sorel
1990to2000,74,51,0,Sainte-Anne-de-Sorel
1990to2000,91,51,0,Sainte-Anne-de-Sorel
1990to2000,11,61,NA,Sainte-Anne-de-Sorel
1990to2000,21,61,NA,Sainte-Anne-de-Sorel
1990to2000,25,61,NA,Sainte-Anne-de-Sorel
1990to2000,31,61,NA,Sainte-Anne-de-Sorel
1990to2000,41,61,NA,Sainte-Anne-de-Sorel
1990to2000,42,61,NA,Sainte-Anne-de-Sorel
1990to2000,45,61,NA,Sainte-Anne-de-Sorel
1990to2000,46,61,NA,Sainte-Anne-de-Sorel
1990to2000,51,61,NA,Sainte-Anne-de-Sorel
1990to2000,61,61,NA,Sainte-Anne-de-Sorel
1990to2000,62,61,NA,Sainte-Anne-de-Sorel
1990to2000,71,61,NA,Sainte-Anne-de-Sorel
1990to2000,73,61,NA,Sainte-Anne-de-Sorel
1990to2000,74,61,NA,Sainte-Anne-de-Sorel
1990to2000,91,61,NA,Sainte-Anne-de-Sorel
1990to2000,11,62,NA,Sainte-Anne-de-Sorel
1990to2000,21,62,0,Sainte-Anne-de-Sorel
1990to2000,25,62,0,Sainte-Anne-de-Sorel
1990to2000,31,62,0,Sainte-Anne-de-Sorel
1990to2000,41,62,0,Sainte-Anne-de-Sorel
1990to2000,42,62,0,Sainte-Anne-de-Sorel
1990to2000,45,62,0,Sainte-Anne-de-Sorel
1990to2000,46,62,0,Sainte-Anne-de-Sorel
1990to2000,51,62,0,Sainte-Anne-de-Sorel
1990to2000,61,62,NA,Sainte-Anne-de-Sorel
1990to2000,62,62,1,Sainte-Anne-de-Sorel
1990to2000,71,62,0,Sainte-Anne-de-Sorel
1990to2000,73,62,0,Sainte-Anne-de-Sorel
1990to2000,74,62,0,Sainte-Anne-de-Sorel
1990to2000,91,62,0,Sainte-Anne-de-Sorel
1990to2000,11,71,NA,Sainte-Anne-de-Sorel
1990to2000,21,71,0,Sainte-Anne-de-Sorel
1990to2000,25,71,0,Sainte-Anne-de-Sorel
1990to2000,31,71,0,Sainte-Anne-de-Sorel
1990to2000,41,71,0,Sainte-Anne-de-Sorel
1990to2000,42,71,0,Sainte-Anne-de-Sorel
1990to2000,45,71,0,Sainte-Anne-de-Sorel
1990to2000,46,71,0,Sainte-Anne-de-Sorel
1990to2000,51,71,0,Sainte-Anne-de-Sorel
1990to2000,61,71,NA,Sainte-Anne-de-Sorel
1990to2000,62,71,0,Sainte-Anne-de-Sorel
1990to2000,71,71,4884,Sainte-Anne-de-Sorel
1990to2000,73,71,0,Sainte-Anne-de-Sorel
1990to2000,74,71,0,Sainte-Anne-de-Sorel
1990to2000,91,71,0,Sainte-Anne-de-Sorel
1990to2000,11,73,NA,Sainte-Anne-de-Sorel
1990to2000,21,73,0,Sainte-Anne-de-Sorel
1990to2000,25,73,0,Sainte-Anne-de-Sorel
1990to2000,31,73,0,Sainte-Anne-de-Sorel
1990to2000,41,73,0,Sainte-Anne-de-Sorel
1990to2000,42,73,0,Sainte-Anne-de-Sorel
1990to2000,45,73,0,Sainte-Anne-de-Sorel
1990to2000,46,73,0,Sainte-Anne-de-Sorel
1990to2000,51,73,0,Sainte-Anne-de-Sorel
1990to2000,61,73,NA,Sainte-Anne-de-Sorel
1990to2000,62,73,0,Sainte-Anne-de-Sorel
1990to2000,71,73,0,Sainte-Anne-de-Sorel
1990to2000,73,73,1109,Sainte-Anne-de-Sorel
1990to2000,74,73,2,Sainte-Anne-de-Sorel
1990to2000,91,73,0,Sainte-Anne-de-Sorel
1990to2000,11,74,NA,Sainte-Anne-de-Sorel
1990to2000,21,74,0,Sainte-Anne-de-Sorel
1990to2000,25,74,0,Sainte-Anne-de-Sorel
1990to2000,31,74,0,Sainte-Anne-de-Sorel
1990to2000,41,74,0,Sainte-Anne-de-Sorel
1990to2000,42,74,0,Sainte-Anne-de-Sorel
1990to2000,45,74,0,Sainte-Anne-de-Sorel
1990to2000,46,74,0,Sainte-Anne-de-Sorel
1990to2000,51,74,0,Sainte-Anne-de-Sorel
1990to2000,61,74,NA,Sainte-Anne-de-Sorel
1990to2000,62,74,0,Sainte-Anne-de-Sorel
1990to2000,71,74,0,Sainte-Anne-de-Sorel
1990to2000,73,74,0,Sainte-Anne-de-Sorel
1990to2000,74,74,1276,Sainte-Anne-de-Sorel
1990to2000,91,74,0,Sainte-Anne-de-Sorel
1990to2000,11,91,NA,Sainte-Anne-de-Sorel
1990to2000,21,91,0,Sainte-Anne-de-Sorel
1990to2000,25,91,0,Sainte-Anne-de-Sorel
1990to2000,31,91,0,Sainte-Anne-de-Sorel
1990to2000,41,91,0,Sainte-Anne-de-Sorel
1990to2000,42,91,0,Sainte-Anne-de-Sorel
1990to2000,45,91,0,Sainte-Anne-de-Sorel
1990to2000,46,91,0,Sainte-Anne-de-Sorel
1990to2000,51,91,0,Sainte-Anne-de-Sorel
1990to2000,61,91,NA,Sainte-Anne-de-Sorel
1990to2000,62,91,0,Sainte-Anne-de-Sorel
1990to2000,71,91,0,Sainte-Anne-de-Sorel
1990to2000,73,91,0,Sainte-Anne-de-Sorel
1990to2000,74,91,0,Sainte-Anne-de-Sorel
1990to2000,91,91,9,Sainte-Anne-de-Sorel
2000to2010,11,11,NA,Sainte-Anne-de-Sorel
2000to2010,21,11,NA,Sainte-Anne-de-Sorel
2000to2010,25,11,NA,Sainte-Anne-de-Sorel
2000to2010,31,11,NA,Sainte-Anne-de-Sorel
2000to2010,41,11,NA,Sainte-Anne-de-Sorel
2000to2010,42,11,NA,Sainte-Anne-de-Sorel
2000to2010,45,11,NA,Sainte-Anne-de-Sorel
2000to2010,46,11,NA,Sainte-Anne-de-Sorel
2000to2010,51,11,NA,Sainte-Anne-de-Sorel
2000to2010,61,11,NA,Sainte-Anne-de-Sorel
2000to2010,62,11,NA,Sainte-Anne-de-Sorel
2000to2010,71,11,NA,Sainte-Anne-de-Sorel
2000to2010,73,11,NA,Sainte-Anne-de-Sorel
2000to2010,74,11,NA,Sainte-Anne-de-Sorel
2000to2010,91,11,NA,Sainte-Anne-de-Sorel
2000to2010,11,21,NA,Sainte-Anne-de-Sorel
2000to2010,21,21,2269,Sainte-Anne-de-Sorel
2000to2010,25,21,0,Sainte-Anne-de-Sorel
2000to2010,31,21,0,Sainte-Anne-de-Sorel
2000to2010,41,21,10,Sainte-Anne-de-Sorel
2000to2010,42,21,0,Sainte-Anne-de-Sorel
2000to2010,45,21,3,Sainte-Anne-de-Sorel
2000to2010,46,21,0,Sainte-Anne-de-Sorel
2000to2010,51,21,134,Sainte-Anne-de-Sorel
2000to2010,61,21,NA,Sainte-Anne-de-Sorel
2000to2010,62,21,0,Sainte-Anne-de-Sorel
2000to2010,71,21,4,Sainte-Anne-de-Sorel
2000to2010,73,21,2,Sainte-Anne-de-Sorel
2000to2010,74,21,0,Sainte-Anne-de-Sorel
2000to2010,91,21,0,Sainte-Anne-de-Sorel
