Unclassified,Settlement,Roads,Water,Forest,Forest Wetland,Trees,Treed Wetland,Cropland,Grassland Managed,Grassland Unmanaged,Wetland,Wetland Shrub,Wetland Herb,Other land,Year,Municipality
NA,1805,589,4775,16396,2171,447,384,13478,NA,1,4888,1158,1288,9,1990,Sainte-Anne-de-Sorel
NA,1989,1727,6331,16295,7662,772,489,42921,NA,NA,2056,1362,3165,6,1990,Yamaska
NA,16856,7424,2653,22380,403,504,183,14107,NA,59,606,510,551,77,1990,Sorel-Tracy
NA,1111,251,73,NA,NA,3,5,NA,NA,NA,2,NA,10,17,1990,Saint-Joseph-de-Sorel
NA,672,801,NA,5813,NA,283,NA,34895,NA,NA,1,NA,1,NA,1990,Saint-Gérard-Majella
NA,1848,1754,35,13764,59,594,34,53489,NA,NA,68,40,50,7,1990,Saint-Robert
NA,3648,1680,559,35820,38,562,37,42084,NA,1,191,77,107,3,1990,Sainte-Victoire-de-Sorel
NA,1214,2069,1147,16904,NA,768,12,81396,NA,NA,13,10,29,6,1990,Saint-David
NA,5871,3539,788,26332,494,665,279,26153,NA,30,909,559,385,405,1990,Contrecoeur
NA,3074,1739,2185,16139,254,238,45,16185,NA,NA,205,44,45,8,1990,Saint-Roch-de-Richelieu
NA,894,1524,1294,4451,NA,632,34,60377,NA,NA,33,15,36,NA,1990,Saint-Aimé
NA,2109,1637,2393,13059,NA,533,22,48339,NA,NA,81,41,42,5,1990,Saint-Ours
NA,557,167,27,50,NA,25,4,495,NA,NA,3,NA,NA,NA,1990,Massueville
NA,626,1034,352,8436,NA,341,6,46180,NA,NA,7,3,8,1,1990,Saint-Marcel-de-Richelieu
NA,870,1167,917,11401,NA,542,30,38782,NA,NA,59,8,15,1,1990,Saint-Louis
NA,692,1025,3,25973,NA,324,25,44947,NA,NA,175,9,30,3,1990,Saint-Bernard-de-Michaudville
NA,1401,1376,2441,9947,92,476,14,59551,NA,NA,32,22,15,17,1990,Saint-Antoine-sur-Richelieu
NA,1826,1216,107,36601,196,493,104,44925,NA,132,906,82,70,2,1990,Saint-Jude
NA,1946,1590,1443,21144,NA,652,17,68497,NA,29,16,8,14,4,1990,Saint-Hugues
NA,1720,2309,2331,16842,1422,558,17,70383,NA,NA,104,41,41,1,1990,Saint-Denis-sur-Richelieu
NA,3988,2618,560,19928,364,215,52,52259,NA,NA,133,62,89,21,1990,Verchères
NA,1045,939,794,3617,NA,486,9,57445,NA,29,13,3,2,3,1990,Saint-Barnabé-Sud
NA,2269,1869,39,16135,280,682,13,57756,NA,NA,120,86,184,1,1990,Sainte-Hélène-de-Bagot
NA,1397,1474,8,10731,510,473,33,49758,NA,36,141,128,153,7,1990,Saint-Nazaire-d'Acton
NA,460,770,83,7225,NA,92,3,27624,NA,NA,5,1,1,1,1990,Calixa-Lavallée
NA,2033,2025,765,14515,53,504,8,57322,NA,180,87,20,22,2,1990,Saint-Simon
NA,1912,2514,6,26396,28,560,37,73246,NA,NA,243,64,28,9,1990,La Présentation
NA,10235,5406,940,11598,121,373,81,74731,NA,93,136,290,159,34,1990,Varennes
NA,1405,1584,2170,14458,1488,498,20,48175,NA,NA,32,34,51,15,1990,Saint-Marc-sur-Richelieu
NA,1724,2254,178,37072,350,720,67,49896,NA,22,111,155,136,6,1990,Saint-Théodore-d'Acton
NA,1374,1735,1873,22365,NA,446,8,45631,NA,NA,17,32,24,3,1990,Saint-Charles-sur-Richelieu
NA,21970,11788,2851,15215,89,1597,61,157945,NA,42,758,117,433,56,1990,Saint-Hyacinthe
NA,1765,1924,1259,5615,NA,876,35,49921,NA,NA,36,61,73,5,1990,Upton
NA,2625,1707,391,10748,319,759,56,66380,NA,NA,144,162,258,8,1990,Saint-Liboire
NA,4415,1959,158,11194,20,461,70,22164,NA,59,33,76,375,5,1990,Saint-Amable
NA,1276,1772,184,63590,2116,344,162,31514,NA,3,226,527,306,7,1990,Sainte-Christine
NA,7121,3464,1110,50354,1111,768,137,36280,NA,NA,373,407,316,17,1990,Acton Vale
NA,18517,7950,936,6171,362,633,292,42748,NA,57,1111,312,552,126,1990,Boucherville
NA,3264,1320,164,17616,433,574,45,54669,NA,NA,322,130,545,33,1990,Saint-Dominique
NA,2932,1464,4,8083,NA,140,2,30492,NA,57,1,33,25,12,1990,Saint-Mathieu-de-Beloeil
NA,9585,4623,457,7305,99,259,40,31455,NA,22,61,81,216,37,1990,Sainte-Julie
NA,6290,3448,877,198,NA,111,NA,17133,NA,NA,1,17,1,2,1990,Beloeil
NA,2309,1858,8,4143,NA,273,NA,46518,NA,NA,NA,12,12,8,1990,Sainte-Marie-Madeleine
NA,7793,3786,1956,21047,NA,322,9,15663,NA,24,10,149,44,24,1990,Mont-Saint-Hilaire
NA,2660,2696,721,39224,849,1051,34,71964,NA,1,56,66,83,5,1990,Saint-Valérien-de-Milton
NA,990,525,20,129,NA,42,1,4178,NA,NA,NA,NA,7,1,1990,Sainte-Madeleine
NA,2517,2833,1133,110278,307,754,76,47843,NA,26,217,125,115,1,1990,Roxton
NA,56183,25015,428,19034,165,518,196,24678,NA,2001,111,267,133,26,1990,Longueuil
NA,1262,642,112,1857,NA,59,9,1639,NA,NA,1,48,35,3,1990,Roxton Falls
NA,5115,3148,2110,15359,383,1178,60,91274,NA,3,522,251,747,29,1990,Saint-Pie
NA,4771,2547,1039,2559,NA,206,25,29202,NA,NA,301,48,33,37,1990,Saint-Basile-le-Grand
NA,4403,1885,118,11376,NA,495,16,62024,NA,321,23,12,25,19,1990,Saint-Jean-Baptiste
NA,10867,4886,965,14733,24,329,70,15994,NA,NA,25,187,48,38,1990,Saint-Bruno-de-Montarville
NA,548,1114,431,31866,874,269,86,16696,NA,1,225,275,125,1,1990,Béthanie
NA,1936,1770,1165,9934,NA,671,15,74763,NA,NA,9,10,10,18,1990,Saint-Damase
NA,605,557,272,3670,80,92,22,3646,NA,1,25,77,57,6,1990,Pointe-Fortune
NA,1479,696,288,261,NA,5,NA,968,NA,NA,NA,8,1,10,1990,McMasterville
NA,2482,1411,360,669,NA,57,NA,1296,NA,NA,2,25,1,2,1990,Otterburn Park
NA,4663,3478,5717,71377,1041,424,90,27236,NA,22,131,236,118,17,1990,Roxton Pond
NA,2807,2147,591,30635,674,792,73,42202,NA,26,524,222,217,6,1990,Sainte-Cécile-de-Milton
NA,2079,1662,3491,7506,17,536,5,40385,NA,NA,22,18,48,6,1990,Saint-Mathias-sur-Richelieu
NA,5729,5467,2191,40072,2001,522,175,54091,NA,NA,402,207,192,17,1990,Rigaud
NA,5349,2652,348,NA,NA,2,2,NA,NA,NA,3,3,6,5,1990,Saint-Lambert
NA,5105,3326,2965,14525,536,690,103,44506,NA,NA,130,193,143,60,1990,Carignan
NA,1993,3048,2545,113685,548,333,178,19987,NA,2,297,220,267,5,1990,Saint-Joachim-de-Shefford
NA,2735,1113,152,15795,NA,529,1,28556,NA,74,3,16,12,12,1990,Rougemont
NA,4097,3542,133,3175,NA,681,1,57773,NA,NA,2,9,4,68,1990,Marieville
NA,17517,8832,510,7976,1369,364,87,12664,NA,127,193,601,232,45,1990,Brossard
NA,5496,1873,763,10332,160,241,99,5146,NA,NA,106,103,101,14,1990,Hudson
NA,4867,2881,1859,4792,NA,1128,18,77619,NA,NA,24,37,38,29,1990,Saint-Césaire
NA,5220,1922,375,40300,NA,777,36,40275,NA,111,27,66,62,14,1990,Saint-Paul-d'Abbotsford
NA,10760,6720,724,19944,189,528,120,40938,NA,29,244,222,283,38,1990,Vaudreuil-Dorion
NA,6663,3691,2517,5146,NA,250,5,11755,NA,NA,8,41,27,27,1990,Chambly
NA,33479,14525,2861,65729,1359,1155,327,49671,NA,104,842,1413,822,53,1990,Granby
NA,612,706,18,11585,44,130,22,16012,NA,NA,NA,11,8,NA,1990,Très-Saint-Rédempteur
NA,2415,1958,1758,2975,NA,369,19,26817,NA,NA,11,40,10,17,1990,Richelieu
NA,10758,5111,380,38798,508,307,119,17926,NA,4,195,428,431,44,1990,Saint-Lazare
NA,1225,1665,140,22683,221,142,66,62155,NA,NA,61,111,94,8,1990,Sainte-Marthe
NA,1299,1602,54,5581,NA,379,2,40977,NA,NA,8,12,13,9,1990,Sainte-Angèle-de-Monnoir
NA,8619,3879,544,13176,578,324,108,20127,NA,151,309,329,217,41,1990,La Prairie
NA,47,42,81,324,15,5,3,NA,NA,NA,23,6,5,NA,1990,L'Île-Cadieux
NA,388,224,11,467,NA,16,5,341,NA,NA,9,6,1,NA,1990,Vaudreuil-sur-le-Lac
NA,6382,6233,1147,100658,278,501,205,15754,NA,1,212,282,444,12,1990,Shefford
NA,2009,2039,463,22669,667,337,81,65590,NA,NA,3,66,140,36,1990,Sainte-Justine-de-Newton
NA,7791,2237,2038,34265,1194,253,437,4979,NA,85,538,440,1322,79,1990,Kahnawake
NA,36148,19285,7748,21067,367,1928,151,171023,NA,NA,190,469,787,216,1990,Saint-Jean-sur-Richelieu
NA,5727,2161,450,714,NA,153,13,565,NA,103,63,79,61,43,1990,Sainte-Catherine
NA,3700,1180,64,808,NA,109,7,1471,NA,92,1,70,101,64,1990,Delson
NA,4451,2020,775,9077,19,316,51,14442,NA,3,110,132,119,39,1990,Notre-Dame-de-l'Île-Perrot
NA,5673,2716,167,3687,NA,186,23,6865,NA,58,10,123,110,32,1990,Candiac
NA,2303,1320,81,1840,NA,35,28,16,NA,1,45,79,27,1,1990,L'Île-Perrot
NA,13153,7061,1562,5245,430,425,262,10808,NA,161,412,329,1521,25,1990,Châteauguay
NA,723,314,16,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990,Terrasse-Vaudreuil
NA,8845,4597,53,3089,NA,413,24,46832,NA,74,31,38,83,24,1990,Saint-Constant
NA,3996,2297,401,22959,371,1311,126,65869,NA,27,935,468,1238,24,1990,Ange-Gardien
NA,3305,2258,10,3113,NA,363,20,59865,NA,NA,2,34,46,43,1990,Saint-Philippe
NA,3015,2043,190,18455,NA,687,18,65684,NA,19,78,73,59,34,1990,Mont-Saint-Grégoire
NA,3294,1589,419,2825,NA,39,2,77,NA,NA,4,30,12,1,1990,Pincourt
NA,1380,884,1,3222,NA,69,2,37833,NA,1,29,19,100,1,1990,Saint-Clet
NA,246,206,1,4250,13,31,6,1331,NA,NA,14,9,7,NA,1990,Warden
NA,1962,2144,94,7809,41,609,13,64630,NA,30,713,180,141,4,1990,Sainte-Brigide-d'Iberville
NA,5210,3456,1256,15586,51,355,94,59185,NA,216,236,146,114,24,1990,Les Cèdres
NA,3429,719,676,3725,178,84,117,2481,NA,2,180,114,360,6,1990,Léry
NA,3340,2917,344,15395,23,676,99,32794,NA,33,7,40,24,17,1990,Saint-Alphonse-de-Granby
NA,3111,1245,1549,7343,13,83,47,1369,NA,NA,65,18,119,3,1990,Waterloo
NA,3418,1924,944,3035,NA,234,6,68923,NA,76,NA,11,26,NA,1990,Saint-Polycarpe
NA,5169,2902,819,9042,25,344,72,32351,NA,1,74,119,103,24,1990,Coteau-du-Lac
NA,10267,5762,1829,80808,370,894,331,27895,NA,NA,67,214,672,64,1990,Bromont
NA,1771,1438,100,2459,34,411,33,49473,NA,NA,285,47,1801,15,1990,Saint-Isidore
NA,1745,1065,1,1353,17,156,10,30316,NA,NA,45,22,22,2,1990,Saint-Mathieu
NA,4493,2317,919,3049,NA,365,70,40510,NA,NA,17,66,50,14,1990,Mercier
NA,8017,3831,2239,37860,471,1149,181,47386,NA,204,1650,866,328,50,1990,Farnham
NA,7902,3011,3014,8047,596,619,237,49947,NA,109,584,1039,611,15,1990,Beauharnois
NA,964,257,359,512,NA,47,28,244,NA,NA,55,15,101,6,1990,Pointe-des-Cascades
