scenario,timestep,iter,species,kp_nb
52,7,8,MAAM,1167
38,2,5,MAAM,1325
40,5,1,RASY,1024
50,4,2,URAM,916
51,11,7,MAAM,1093
39,9,2,RASY,933
49,6,10,BLBR,967
49,10,2,URAM,783
52,5,10,RASY,900
45,7,10,MAAM,1219
49,7,6,RASY,845
52,3,4,URAM,972
44,9,7,BLBR,1082
41,6,3,RASY,831
46,10,4,MAAM,1141
41,10,4,MAAM,1073
47,10,2,BLBR,841
46,6,3,URAM,1080
50,7,5,PLCI,917
50,4,8,URAM,947
47,3,4,RASY,995
48,4,4,PLCI,987
46,5,9,MAAM,1280
43,2,10,PLCI,1134
38,3,9,MAAM,1304
42,7,7,RASY,778
52,8,8,BLBR,875
42,2,8,MAAM,1325
38,5,5,BLBR,1162
50,2,9,RASY,1077
40,5,6,MAAM,1258
50,3,3,MAAM,1287
46,11,8,PLCI,975
42,4,10,URAM,937
51,3,9,MAAM,1301
38,11,5,BLBR,980
50,8,3,MAAM,1166
47,8,8,MAAM,1179
40,10,10,MAAM,1056
45,7,5,RASY,1019
39,2,1,URAM,1078
39,3,4,PLCI,1132
50,11,4,PLCI,779
42,5,1,RASY,868
43,5,7,MAAM,1159
52,4,4,URAM,968
50,2,4,BLBR,1218
37,1,6,URAM,1024
39,3,8,URAM,1065
46,6,7,BLBR,1145
49,8,7,MAAM,1122
44,10,8,RASY,982
52,2,10,MAAM,1325
52,8,2,RASY,830
48,4,1,URAM,909
47,4,7,BLBR,1080
39,4,2,URAM,1063
51,4,10,URAM,937
47,5,7,URAM,883
45,5,2,BLBR,1165
43,5,1,PLCI,916
46,9,4,RASY,1004
39,6,1,RASY,1008
39,7,1,PLCI,1018
42,11,1,BLBR,708
40,8,5,PLCI,982
41,3,4,RASY,960
42,2,6,BLBR,1218
40,6,7,MAAM,1178
45,11,6,MAAM,1167
47,9,5,RASY,760
37,1,8,PLCI,1118
41,2,9,MAAM,1325
51,9,9,MAAM,1145
45,3,5,RASY,1049
47,8,1,BLBR,943
47,2,1,RASY,1077
48,4,10,URAM,941
38,6,7,BLBR,1116
43,3,8,MAAM,1270
52,6,7,BLBR,983
42,10,6,MAAM,966
46,4,5,MAAM,1292
